inventory_id,product_id,warehouse,current_stock,reorder_point,max_stock
93,93,Chennai,581,270,981
94,94,Hyderabad,577,333,709
95,95,Hyderabad,376,171,638
96,96,Hyderabad,356,183,684
97,97,Hyderabad,595,272,831
98,98,Hyderabad,356,350,1012
99,99,Bangalore,427,343,1060
100,100,Bangalore,476,269,913
101,101,Pune,754,398,855
102,102,Chennai,321,113,718
103,103,Delhi,788,396,991
104,104,Chennai,224,126,724
105,105,Pune,684,368,990
106,106,Pune,298,294,669
107,107,Pune,162,116,709
108,108,Chennai,210,197,506
109,109,Chennai,258,314,691
110,110,Hyderabad,532,310,866
111,111,Delhi,581,131,792
112,112,Mumbai,728,206,793
113,113,Chennai,371,344,913
114,114,Hyderabad,400,188,723
115,115,Pune,840,379,860
116,116,Chennai,246,235,847
117,117,Hyderabad,355,226,668
118,118,Mumbai,839,215,997
119,119,Delhi,756,247,907
120,120,Chennai,407,350,812
121,121,Pune,610,386,1164
122,122,Hyderabad,606,247,609
123,123,Chennai,888,294,1052
124,124,Delhi,347,276,1064
125,125,Pune,130,121,568
126,126,Chennai,721,277,1050
127,127,Chennai,269,231,913
128,128,Hyderabad,327,203,926
129,129,Mumbai,190,387,1043
130,130,Pune,650,155,770
131,131,Bangalore,593,222,646
132,132,Delhi,103,215,841
133,133,Mumbai,533,151,662
134,134,Delhi,55,151,799
135,135,Delhi,883,381,1181
136,136,Pune,254,343,887
137,137,Mumbai,711,247,711
138,138,Bangalore,717,130,894
139,139,Hyderabad,806,393,811
140,140,Delhi,477,119,886
141,141,Bangalore,906,190,968
142,142,Chennai,240,303,1006
143,143,Bangalore,59,248,996
144,144,Hyderabad,159,252,842
145,145,Chennai,706,271,716
146,146,Chennai,187,378,946
147,147,Mumbai,247,358,897
148,148,Delhi,519,157,626
149,149,Delhi,64,231,898
150,150,Mumbai,631,272,976
151,151,Hyderabad,465,198,587
152,152,Mumbai,138,318,881
153,153,Bangalore,239,305,947
154,154,Mumbai,304,171,715
155,155,Chennai,170,103,536
156,156,Mumbai,387,328,1013
157,157,Pune,636,254,852
158,158,Pune,234,105,538
159,159,Pune,110,220,551
160,160,Delhi,465,338,795
161,161,Pune,686,357,1129
162,162,Mumbai,426,160,787
163,163,Delhi,539,213,625
164,164,Pune,670,178,710
165,165,Pune,612,291,803
166,166,Hyderabad,871,341,1028
167,167,Delhi,746,211,901
168,168,Chennai,590,141,710
169,169,Hyderabad,164,285,624
170,170,Hyderabad,567,131,855
171,171,Hyderabad,203,203,796
172,172,Hyderabad,502,184,651
173,173,Delhi,784,159,807
174,174,Bangalore,572,398,948
175,175,Bangalore,514,328,1042
176,176,Chennai,517,167,729
177,177,Hyderabad,523,388,717
178,178,Bangalore,455,257,927
179,179,Bangalore,813,230,948
180,180,Bangalore,96,211,807
181,181,Pune,115,316,792
182,182,Bangalore,533,377,707
183,183,Chennai,234,116,562
184,184,Pune,796,169,861
185,185,Chennai,509,315,806
186,186,Bangalore,749,293,785
187,187,Pune,406,376,744
188,188,Hyderabad,251,160,551
189,189,Pune,278,370,735
190,190,Bangalore,355,101,788
191,191,Pune,607,337,981
192,192,Chennai,285,317,889
193,193,Mumbai,208,226,761
194,194,Pune,165,241,637
195,195,Pune,479,116,830
196,196,Delhi,84,108,531
197,197,Bangalore,507,151,755
198,198,Pune,72,124,549
199,199,Delhi,602,305,829
200,200,Bangalore,193,211,897
201,201,Delhi,799,357,805
202,202,Hyderabad,662,394,857
203,203,Mumbai,196,264,685
204,204,Chennai,357,366,779
205,205,Hyderabad,229,240,571
206,206,Chennai,98,318,902
207,207,Pune,737,276,1058
208,208,Hyderabad,376,295,997
209,209,Delhi,357,313,822
210,210,Hyderabad,534,292,686
211,211,Delhi,357,223,957
212,212,Chennai,109,173,885
213,213,Chennai,620,387,898
214,214,Chennai,298,371,739
215,215,Mumbai,130,230,634
216,216,Mumbai,144,330,1063
217,217,Delhi,102,374,1044
218,218,Pune,669,237,730
219,219,Bangalore,242,120,867
220,220,Pune,622,400,1070
221,221,Delhi,390,211,756
222,222,Bangalore,266,255,1044
223,223,Pune,170,197,989
224,224,Delhi,468,345,1113
225,225,Delhi,615,303,1071
226,226,Mumbai,439,264,961
227,227,Pune,417,338,911
228,228,Mumbai,575,257,690
229,229,Bangalore,872,354,892
230,230,Mumbai,986,340,1029
231,231,Mumbai,473,204,693
232,232,Delhi,199,123,711
233,233,Hyderabad,528,108,541
234,234,Pune,477,399,995
235,235,Delhi,387,251,629
236,236,Hyderabad,301,217,711
237,237,Pune,751,355,936
238,238,Chennai,552,272,703
239,239,Pune,410,335,721
240,240,Pune,329,186,557
241,241,Hyderabad,707,350,744
242,242,Bangalore,126,130,698
243,243,Bangalore,472,124,815
244,244,Pune,286,170,901
245,245,Delhi,59,134,796
246,246,Chennai,432,211,769
247,247,Pune,732,130,746
248,248,Chennai,66,347,984
249,249,Hyderabad,471,103,675
250,250,Hyderabad,190,106,414
251,251,Mumbai,85,374,1174
252,252,Pune,931,357,1073
253,253,Bangalore,318,191,545
254,254,Delhi,589,176,599
255,255,Mumbai,323,229,946
256,256,Mumbai,465,303,643
257,257,Delhi,763,335,924
258,258,Pune,132,215,668
259,259,Chennai,244,116,463
260,260,Chennai,107,293,875
261,261,Delhi,134,104,763
262,262,Chennai,728,355,1087
263,263,Bangalore,1131,389,1189
264,264,Delhi,511,121,538
265,265,Mumbai,97,390,933
266,266,Mumbai,606,138,788
267,267,Bangalore,233,388,1024
268,268,Delhi,197,261,569
269,269,Bangalore,662,303,1078
270,270,Delhi,630,183,771
271,271,Hyderabad,389,299,945
272,272,Pune,193,296,982
273,273,Pune,404,140,696
274,274,Chennai,168,127,477
275,275,Hyderabad,456,138,612
276,276,Pune,329,267,582
277,277,Delhi,414,330,881
278,278,Chennai,934,383,1164
279,279,Hyderabad,726,195,843
280,280,Hyderabad,352,294,637
281,281,Bangalore,134,226,891
282,282,Chennai,207,237,615
283,283,Mumbai,159,299,761
284,284,Mumbai,277,146,448
285,285,Mumbai,154,284,973
286,286,Delhi,270,167,511
287,287,Hyderabad,574,329,914
288,288,Bangalore,141,308,660
289,289,Bangalore,661,281,864
290,290,Chennai,62,266,1008
291,291,Chennai,136,249,760
292,292,Delhi,1117,386,1149
293,293,Chennai,223,186,836
294,294,Mumbai,324,171,608
295,295,Bangalore,221,352,726
296,296,Chennai,356,322,763
297,297,Bangalore,419,347,1047
298,298,Delhi,788,228,1011
299,299,Hyderabad,250,353,957
300,300,Delhi,361,334,688
301,301,Chennai,390,103,888
302,302,Mumbai,500,294,1005
303,303,Pune,658,271,791
304,304,Mumbai,255,169,622
305,305,Delhi,457,345,805
306,306,Pune,698,263,712
307,307,Hyderabad,546,351,1146
308,308,Mumbai,452,266,758
309,309,Hyderabad,254,286,644
310,310,Pune,613,379,771
311,311,Pune,522,113,900
312,312,Mumbai,120,207,731
313,313,Chennai,192,309,953
314,314,Mumbai,207,255,678
315,315,Chennai,125,316,1020
316,316,Chennai,646,329,935
317,317,Hyderabad,758,305,878
318,318,Bangalore,859,314,892
319,319,Hyderabad,658,284,943
320,320,Delhi,386,143,498
321,321,Pune,95,281,666
322,322,Pune,712,388,1018
323,323,Mumbai,931,304,1099
324,324,Bangalore,182,154,459
325,325,Pune,581,213,774
326,326,Pune,639,385,982
327,327,Mumbai,450,213,741
328,328,Pune,652,337,1032
329,329,Mumbai,75,356,733
330,330,Mumbai,475,347,700
331,331,Pune,122,143,502
332,332,Mumbai,516,278,737
333,333,Chennai,406,205,771
334,334,Chennai,513,343,692
335,335,Mumbai,95,263,597
336,336,Mumbai,381,158,469
337,337,Delhi,299,155,801
338,338,Hyderabad,213,364,753
339,339,Chennai,523,269,855
340,340,Chennai,694,218,926
341,341,Pune,492,194,589
342,342,Pune,252,302,616
343,343,Chennai,448,330,933
344,344,Delhi,260,102,762
345,345,Pune,878,242,927
346,346,Bangalore,599,132,727
347,347,Mumbai,251,195,682
348,348,Mumbai,551,334,692
349,349,Pune,691,370,1164
350,350,Chennai,651,298,910
351,351,Mumbai,518,158,636
352,352,Pune,772,188,904
353,353,Hyderabad,654,252,1022
354,354,Delhi,370,143,787
355,355,Mumbai,169,160,582
356,356,Pune,194,193,684
357,357,Chennai,660,361,859
358,358,Chennai,483,170,764
359,359,Pune,600,195,744
360,360,Delhi,551,188,772
361,361,Delhi,372,247,618
362,362,Bangalore,936,330,947
363,363,Bangalore,546,283,1070
364,364,Chennai,567,169,568
365,365,Pune,553,353,862
366,366,Chennai,550,312,975
367,367,Hyderabad,65,185,527
368,368,Bangalore,331,212,661
369,369,Mumbai,222,215,790
370,370,Pune,841,334,923
371,371,Hyderabad,165,353,934
372,372,Mumbai,606,393,751
373,373,Bangalore,828,287,864
374,374,Delhi,485,325,904
375,375,Pune,819,152,828
376,376,Bangalore,510,226,678
377,377,Bangalore,499,234,712
378,378,Delhi,264,160,857
379,379,Pune,674,279,1019
380,380,Hyderabad,192,319,703
381,381,Delhi,874,205,921
382,382,Mumbai,595,130,721
383,383,Hyderabad,222,243,848
384,384,Mumbai,346,265,925
385,385,Hyderabad,745,393,829
386,386,Chennai,80,148,517
387,387,Pune,179,241,984
388,388,Delhi,379,167,594
389,389,Pune,452,226,915
390,390,Hyderabad,697,350,722
391,391,Chennai,434,237,858
392,392,Pune,145,331,669
393,393,Pune,334,306,869
394,394,Chennai,385,288,820
395,395,Pune,145,397,698
396,396,Pune,764,334,959
397,397,Bangalore,864,283,1018
398,398,Delhi,489,373,876
399,399,Mumbai,380,208,761
400,400,Hyderabad,641,245,717
401,401,Chennai,401,166,755
402,402,Bangalore,370,124,447
403,403,Bangalore,211,335,643
404,404,Bangalore,488,325,858
405,405,Delhi,715,203,855
406,406,Mumbai,145,254,635
407,407,Bangalore,430,284,712
408,408,Chennai,370,184,510
409,409,Pune,823,256,927
410,410,Pune,143,219,738
411,411,Delhi,294,148,448
412,412,Hyderabad,165,139,506
413,413,Chennai,59,365,1013
414,414,Mumbai,173,104,760
415,415,Delhi,539,316,971
416,416,Chennai,95,136,553
417,417,Mumbai,238,152,504
418,418,Chennai,186,253,623
419,419,Hyderabad,338,173,508
420,420,Pune,218,104,716
421,421,Pune,268,325,804
422,422,Chennai,680,177,947
423,423,Delhi,138,326,1066
424,424,Bangalore,351,151,522
425,425,Chennai,372,296,775
426,426,Mumbai,136,171,597
427,427,Hyderabad,664,227,810
428,428,Pune,77,245,943
429,429,Hyderabad,571,254,659
430,430,Chennai,352,196,878
431,431,Delhi,556,127,828
432,432,Delhi,561,297,654
433,433,Bangalore,419,136,706
434,434,Chennai,480,262,629
435,435,Pune,226,287,866
436,436,Bangalore,84,341,1129
437,437,Bangalore,318,400,734
438,438,Bangalore,454,210,530
439,439,Mumbai,693,303,862
440,440,Chennai,483,356,1048
441,441,Pune,599,305,647
442,442,Delhi,334,375,990
443,443,Bangalore,573,142,600
444,444,Delhi,599,204,1002
445,445,Hyderabad,699,267,767
446,446,Pune,497,133,591
447,447,Delhi,94,222,551
448,448,Chennai,676,322,681
449,449,Pune,229,128,586
450,450,Pune,120,161,467
451,451,Chennai,227,105,488
452,452,Pune,315,367,931
453,453,Delhi,325,185,675
454,454,Bangalore,393,160,854
455,455,Hyderabad,115,319,758
456,456,Hyderabad,692,234,898
457,457,Chennai,573,139,693
458,458,Chennai,220,284,612
459,459,Mumbai,155,288,668
460,460,Pune,168,393,1038
461,461,Hyderabad,52,216,895
462,462,Bangalore,300,122,861
463,463,Mumbai,442,123,664
464,464,Bangalore,479,176,567
465,465,Delhi,476,214,678
466,466,Bangalore,635,263,701
467,467,Hyderabad,103,290,651
468,468,Hyderabad,97,191,605
469,469,Chennai,339,305,640
470,470,Bangalore,616,259,726
471,471,Mumbai,255,333,637
472,472,Mumbai,807,249,837
473,473,Mumbai,655,224,761
474,474,Delhi,800,352,1047
475,475,Delhi,204,379,1068
476,476,Chennai,74,103,880
477,477,Mumbai,701,219,796
478,478,Mumbai,51,104,890
479,479,Pune,794,292,1026
480,480,Delhi,592,257,610
481,481,Chennai,111,221,735
482,482,Mumbai,145,172,836
483,483,Delhi,582,122,893
484,484,Mumbai,519,311,969
485,485,Bangalore,567,143,740
486,486,Chennai,126,168,794
487,487,Chennai,183,390,721
488,488,Mumbai,372,221,670
489,489,Pune,384,301,959
490,490,Mumbai,289,262,793
491,491,Delhi,189,138,921
492,492,Delhi,158,399,754
493,493,Chennai,371,184,714
494,494,Hyderabad,416,308,669
495,495,Mumbai,524,206,737
496,496,Bangalore,142,235,971
497,497,Pune,361,180,893
498,498,Mumbai,125,120,530
499,499,Delhi,414,146,810
500,500,Bangalore,743,302,864
501,501,Delhi,81,253,686
502,502,Chennai,619,307,1044
503,503,Bangalore,523,381,808
504,504,Delhi,174,152,863
505,505,Delhi,116,106,437
506,506,Chennai,431,201,922
507,507,Hyderabad,315,143,741
508,508,Bangalore,151,138,449
509,509,Delhi,144,327,1041
510,510,Bangalore,522,269,631
511,511,Hyderabad,271,125,511
512,512,Bangalore,441,302,856
513,513,Mumbai,269,318,706
514,514,Mumbai,506,195,635
515,515,Hyderabad,367,176,493
516,516,Mumbai,560,225,856
517,517,Hyderabad,540,310,1061
518,518,Mumbai,246,131,475
519,519,Delhi,588,170,684
520,520,Hyderabad,69,227,849
521,521,Pune,417,295,995
522,522,Chennai,402,345,923
523,523,Mumbai,447,389,946
524,524,Bangalore,376,238,630
525,525,Mumbai,79,212,527
526,526,Mumbai,835,341,912
527,527,Delhi,152,399,818
528,528,Delhi,322,226,862
529,529,Pune,164,373,1090
530,530,Chennai,413,212,806
531,531,Delhi,375,188,578
532,532,Hyderabad,78,283,1050
533,533,Hyderabad,627,280,1065
534,534,Delhi,554,172,760
535,535,Delhi,552,377,835
536,536,Bangalore,169,119,465
537,537,Hyderabad,294,212,522
538,538,Hyderabad,256,100,569
539,539,Pune,231,166,640
540,540,Bangalore,201,265,595
541,541,Delhi,842,400,1060
542,542,Hyderabad,423,156,889
543,543,Pune,455,137,628
544,544,Mumbai,359,400,751
545,545,Delhi,497,265,634
546,546,Mumbai,228,349,981
547,547,Hyderabad,855,387,1042
548,548,Pune,653,282,696
549,549,Mumbai,351,189,682
550,550,Pune,50,165,555
