shipment_id,supplier_id,expected_delivery_date,actual_delivery_date,shipping_cost
54,47,2024-05-23,2024-05-23,24264.97
55,21,2024-05-07,2024-05-07,24541.19
56,10,2024-04-24,2024-04-26,46118.96
57,3,2024-01-04,2024-01-05,6802.64
58,50,2024-08-29,2024-09-01,27689.73
59,26,2024-08-06,2024-08-08,26567.12
60,32,2024-02-21,2024-02-22,15823.02
61,1,2024-10-13,2024-10-18,36192.19
62,9,2024-07-28,2024-07-28,21128.26
63,6,2024-05-03,2024-05-06,5716.86
64,46,2024-06-06,2024-06-06,25667.73
65,38,2024-10-20,2024-10-23,6098.61
66,50,2024-08-21,2024-08-22,11238.08
67,24,2024-07-27,2024-07-27,33206.49
68,41,2024-01-02,2024-01-07,8181.44
69,3,2024-06-20,2024-06-22,18346.55
70,40,2024-05-19,2024-05-22,29409.58
71,44,2024-04-17,2024-04-22,8643.16
72,4,2024-06-21,2024-06-24,28163.14
73,8,2024-07-06,2024-07-06,22232.97
74,3,2024-08-27,2024-08-29,21450.7
75,36,2024-03-31,2024-04-03,36719.31
76,50,2024-10-15,2024-10-18,14212.07
77,35,2024-06-21,2024-06-21,10110.1
78,49,2024-09-02,2024-09-05,31105.37
79,48,2024-04-18,2024-04-23,39239.87
80,18,2024-06-14,2024-06-14,27660.47
81,4,2024-08-05,2024-08-05,7851.61
82,32,2024-06-26,2024-06-27,27565.25
83,46,2024-03-04,2024-03-05,28935.7
84,29,2024-09-30,2024-09-30,32942.81
85,30,2024-02-04,2024-02-04,8928.89
86,19,2024-07-20,2024-07-20,48121.54
87,11,2024-02-10,2024-02-10,17417.42
88,10,2024-03-17,2024-03-18,44374.69
89,2,2024-09-24,2024-09-27,18192.62
90,31,2024-10-05,2024-10-05,20601.51
91,42,2024-08-16,2024-08-19,5966.7
92,2,2024-04-07,2024-04-07,44230.72
93,34,2024-04-29,2024-05-04,34010.24
94,22,2024-07-30,2024-08-01,34509.22
95,38,2024-06-17,2024-06-18,34963.49
96,36,2024-09-29,2024-10-04,25036.53
97,9,2024-06-05,2024-06-07,45422.69
98,17,2024-06-06,2024-06-06,15205.19
99,50,2024-07-10,2024-07-10,43048.12
100,19,2024-03-17,2024-03-17,25516.69
101,11,2024-03-27,2024-03-29,37031.55
102,12,2024-05-27,2024-05-27,42769.93
103,16,2024-03-20,2024-03-20,10261.28
104,9,2024-06-12,2024-06-14,24839.99
105,14,2024-07-09,2024-07-09,30311.93
106,21,2024-01-19,2024-01-22,49011.02
107,29,2024-03-17,2024-03-17,29294.0
108,20,2024-03-25,2024-03-27,10467.05
109,32,2024-01-14,2024-01-15,39583.32
110,10,2024-08-23,2024-08-23,5193.24
111,22,2024-10-07,2024-10-09,34125.98
112,19,2024-06-01,2024-06-02,48632.25
113,10,2024-10-21,2024-10-24,40980.93
114,45,2024-08-15,2024-08-15,10054.2
115,9,2024-09-03,2024-09-03,35510.38
116,2,2024-03-01,2024-03-01,23073.35
117,23,2024-04-23,2024-04-24,9161.65
118,42,2024-01-30,2024-02-01,13781.74
119,50,2024-09-27,2024-09-27,17506.72
120,35,2024-01-13,2024-01-13,43225.31
121,26,2024-02-15,2024-02-17,13750.25
122,39,2024-06-12,2024-06-14,28020.01
123,24,2024-01-30,2024-02-02,22890.11
124,25,2024-08-07,2024-08-07,21777.4
125,23,2024-05-26,2024-05-26,18863.84
126,36,2024-08-17,2024-08-22,8941.94
127,27,2024-08-16,2024-08-19,41165.85
128,47,2024-05-28,2024-05-28,48666.23
129,27,2024-08-06,2024-08-09,11280.55
130,14,2024-02-15,2024-02-15,18645.4
131,5,2024-09-26,2024-09-26,46991.88
132,1,2024-07-12,2024-07-12,23425.73
133,12,2024-05-20,2024-05-21,30011.62
134,9,2024-10-18,2024-10-23,13966.59
135,36,2024-07-15,2024-07-15,27076.35
136,38,2024-06-04,2024-06-09,18676.15
137,30,2024-10-14,2024-10-17,15103.41
138,17,2024-01-03,2024-01-03,18507.62
139,42,2024-08-30,2024-08-30,34966.11
140,12,2024-05-28,2024-05-29,27134.89
141,8,2024-05-06,2024-05-06,39412.33
142,39,2024-09-10,2024-09-10,38550.45
143,37,2024-10-25,2024-10-26,24623.08
144,44,2024-05-13,2024-05-16,26421.83
145,33,2024-03-03,2024-03-03,37983.08
146,17,2024-01-10,2024-01-15,12328.13
147,21,2024-01-31,2024-01-31,25746.98
148,11,2024-03-11,2024-03-11,7379.97
149,41,2024-07-04,2024-07-05,46044.71
150,19,2024-07-02,2024-07-02,18124.88
151,13,2024-02-10,2024-02-12,39489.91
152,7,2024-04-04,2024-04-09,31944.31
153,21,2024-03-27,2024-03-29,44259.94
154,44,2024-06-04,2024-06-04,36408.54
155,35,2024-07-05,2024-07-05,31102.1
156,9,2024-03-15,2024-03-15,28317.68
157,32,2024-07-10,2024-07-15,23539.75
158,14,2024-03-25,2024-03-25,11954.97
159,13,2024-04-24,2024-04-29,40779.8
160,45,2024-10-14,2024-10-16,42413.73
161,35,2024-09-27,2024-10-02,37064.62
162,30,2024-02-29,2024-03-01,46221.4
163,9,2024-03-01,2024-03-06,46553.44
164,20,2024-09-03,2024-09-03,36097.28
165,29,2024-03-13,2024-03-18,45037.69
166,22,2024-09-25,2024-09-30,12749.32
167,48,2024-06-05,2024-06-05,41655.83
168,45,2024-04-24,2024-04-24,11406.17
169,9,2024-04-27,2024-04-27,14442.85
170,45,2024-02-11,2024-02-12,39336.07
171,2,2024-02-28,2024-02-28,39861.15
172,13,2024-08-09,2024-08-09,9851.78
173,4,2024-09-20,2024-09-22,26108.71
174,5,2024-05-10,2024-05-10,18574.06
175,7,2024-01-07,2024-01-12,40206.69
176,13,2024-04-16,2024-04-18,13315.18
177,6,2024-06-29,2024-06-29,11550.06
178,23,2024-05-23,2024-05-25,20849.15
179,47,2024-09-14,2024-09-19,32583.04
180,5,2024-09-16,2024-09-18,9459.76
181,1,2024-10-24,2024-10-29,28797.74
182,11,2024-04-09,2024-04-09,45574.71
183,47,2024-10-03,2024-10-03,9440.86
184,46,2024-04-20,2024-04-22,26362.2
185,44,2024-04-05,2024-04-06,48098.65
186,23,2024-04-03,2024-04-08,49158.55
187,33,2024-08-06,2024-08-06,15239.94
188,21,2024-02-28,2024-03-04,10562.69
189,9,2024-02-27,2024-02-29,27311.72
190,19,2024-07-04,2024-07-07,30070.95
191,21,2024-01-22,2024-01-22,27217.08
192,30,2024-07-17,2024-07-17,32017.53
193,29,2024-06-09,2024-06-12,15164.3
194,28,2024-07-28,2024-07-28,13495.32
195,31,2024-02-06,2024-02-11,47258.69
196,1,2024-07-08,2024-07-08,49942.55
197,7,2024-09-09,2024-09-12,22836.64
198,44,2024-09-25,2024-09-28,8825.27
199,26,2024-03-15,2024-03-16,36276.67
200,11,2024-02-23,2024-02-26,7911.97
201,13,2024-04-12,2024-04-12,31773.24
202,15,2024-07-26,2024-07-26,42714.91
203,49,2024-09-13,2024-09-13,37107.22
204,18,2024-10-25,2024-10-27,39033.63
205,31,2024-07-24,2024-07-24,35000.47
206,33,2024-07-27,2024-07-28,17550.08
207,8,2024-08-21,2024-08-21,16281.04
208,41,2024-09-12,2024-09-12,47408.14
209,48,2024-01-17,2024-01-17,7378.36
210,44,2024-02-05,2024-02-06,6203.7
211,39,2024-04-02,2024-04-03,35564.2
212,40,2024-03-20,2024-03-20,33045.47
213,49,2024-02-10,2024-02-13,28397.7
214,30,2024-09-10,2024-09-15,14086.93
215,33,2024-09-12,2024-09-13,16774.94
216,35,2024-06-25,2024-06-30,29597.9
217,8,2024-01-18,2024-01-19,22263.34
218,25,2024-06-11,2024-06-16,24915.03
219,12,2024-01-20,2024-01-20,30049.99
220,11,2024-06-05,2024-06-08,27116.58
221,46,2024-03-10,2024-03-10,22508.62
222,44,2024-02-27,2024-02-29,27074.92
223,35,2024-10-11,2024-10-14,30749.46
224,11,2024-09-01,2024-09-03,27800.83
225,32,2024-07-20,2024-07-20,31597.03
226,44,2024-07-13,2024-07-15,20874.37
227,4,2024-05-26,2024-05-26,6266.61
228,24,2024-01-25,2024-01-25,20699.46
229,49,2024-10-26,2024-10-26,45110.43
230,7,2024-06-24,2024-06-25,24266.67
231,23,2024-07-02,2024-07-03,7540.22
232,16,2024-05-06,2024-05-06,34163.73
233,5,2024-02-14,2024-02-17,44102.3
234,11,2024-02-29,2024-02-29,5887.04
235,30,2024-06-16,2024-06-16,34599.55
236,33,2024-08-05,2024-08-07,45563.44
237,45,2024-05-17,2024-05-17,26136.5
238,25,2024-01-13,2024-01-13,30665.91
239,7,2024-06-15,2024-06-17,41374.7
240,44,2024-02-22,2024-02-25,14265.87
241,49,2024-09-12,2024-09-14,35032.44
242,20,2024-03-27,2024-03-29,21350.04
243,32,2024-08-12,2024-08-12,33594.99
244,35,2024-02-09,2024-02-14,14633.6
245,20,2024-05-16,2024-05-16,49830.25
246,15,2024-07-25,2024-07-30,33105.75
247,38,2024-02-18,2024-02-21,9263.01
248,5,2024-06-22,2024-06-22,30489.27
249,28,2024-09-29,2024-09-30,14438.26
250,20,2024-02-10,2024-02-13,27708.78
251,43,2024-06-03,2024-06-04,29297.64
252,26,2024-04-13,2024-04-14,16306.92
253,43,2024-09-21,2024-09-22,39354.9
254,41,2024-04-03,2024-04-03,36649.92
255,32,2024-04-06,2024-04-08,14582.88
256,41,2024-08-28,2024-08-28,28972.37
257,47,2024-08-11,2024-08-13,33204.13
258,24,2024-09-25,2024-09-25,25811.9
259,48,2024-05-04,2024-05-04,35838.8
260,28,2024-06-03,2024-06-08,23461.71
261,14,2024-02-03,2024-02-06,43068.51
262,19,2024-05-17,2024-05-22,34071.92
263,39,2024-05-12,2024-05-15,15625.84
264,10,2024-05-03,2024-05-03,13636.22
265,20,2024-05-06,2024-05-11,25887.19
266,28,2024-10-14,2024-10-15,34111.49
267,11,2024-01-20,2024-01-20,17272.04
268,18,2024-01-16,2024-01-16,34640.18
269,3,2024-04-01,2024-04-04,48370.41
270,2,2024-09-06,2024-09-11,7489.73
271,39,2024-02-13,2024-02-13,18409.06
272,24,2024-02-03,2024-02-04,35225.24
273,47,2024-02-17,2024-02-18,42923.76
274,37,2024-05-01,2024-05-01,38051.62
275,43,2024-03-03,2024-03-05,42304.17
276,32,2024-09-26,2024-09-26,44805.42
277,8,2024-05-02,2024-05-04,39793.59
278,38,2024-06-10,2024-06-10,38175.64
279,14,2024-05-01,2024-05-02,11492.51
280,18,2024-03-31,2024-03-31,24776.39
281,38,2024-05-11,2024-05-16,7516.64
282,45,2024-10-01,2024-10-01,47691.99
283,28,2024-06-12,2024-06-14,26368.44
284,10,2024-05-07,2024-05-07,21334.91
285,20,2024-07-08,2024-07-13,5948.34
286,48,2024-01-19,2024-01-24,34800.05
287,43,2024-01-29,2024-02-01,15785.41
288,20,2024-10-10,2024-10-11,33752.71
289,44,2024-07-05,2024-07-10,10492.42
290,29,2024-05-02,2024-05-07,22481.2
291,20,2024-07-21,2024-07-21,9061.26
292,14,2024-05-01,2024-05-01,43673.75
293,41,2024-03-24,2024-03-25,19273.3
294,3,2024-07-28,2024-08-02,17331.64
295,50,2024-02-12,2024-02-17,47322.29
296,27,2024-08-30,2024-09-02,46692.37
297,28,2024-06-20,2024-06-23,44454.26
298,11,2024-02-22,2024-02-27,36431.7
299,23,2024-09-17,2024-09-17,23939.17
300,21,2024-10-08,2024-10-11,25396.78
301,4,2024-01-16,2024-01-21,33861.78
302,29,2024-04-05,2024-04-08,40595.87
303,26,2024-03-11,2024-03-11,14003.39
304,37,2024-06-06,2024-06-06,8700.44
305,34,2024-03-22,2024-03-22,37110.38
306,39,2024-03-08,2024-03-13,35858.9
307,31,2024-06-13,2024-06-14,44307.76
308,12,2024-03-10,2024-03-10,35936.01
309,19,2024-06-17,2024-06-22,13939.87
310,12,2024-08-01,2024-08-01,22707.24
311,37,2024-07-13,2024-07-18,15101.92
312,42,2024-01-13,2024-01-15,32540.14
313,30,2024-04-28,2024-04-28,13921.98
314,26,2024-03-28,2024-03-28,32810.18
315,6,2024-05-14,2024-05-14,48111.48
316,8,2024-03-29,2024-03-31,5635.17
317,50,2024-09-27,2024-09-28,46399.51
318,44,2024-08-21,2024-08-26,27236.71
319,14,2024-04-25,2024-04-28,13574.49
320,48,2024-05-17,2024-05-17,27237.57
321,14,2024-03-08,2024-03-09,32003.73
322,44,2024-05-25,2024-05-28,13521.34
323,10,2024-04-03,2024-04-04,6294.79
324,40,2024-05-15,2024-05-15,25293.95
325,38,2024-05-08,2024-05-08,35792.02
326,1,2024-08-23,2024-08-23,26099.67
327,26,2024-06-15,2024-06-18,35908.36
328,28,2024-07-16,2024-07-19,38124.68
329,7,2024-05-12,2024-05-12,30065.0
330,16,2024-01-28,2024-01-28,26191.96
331,43,2024-07-01,2024-07-03,48524.44
332,17,2024-01-25,2024-01-25,27704.39
333,26,2024-07-15,2024-07-15,35206.79
334,3,2024-03-09,2024-03-11,31121.91
335,33,2024-05-14,2024-05-14,27177.79
336,9,2024-06-23,2024-06-24,9034.16
337,10,2024-09-29,2024-09-30,16718.27
338,9,2024-06-10,2024-06-10,27464.48
339,24,2024-05-24,2024-05-27,46680.67
340,40,2024-05-25,2024-05-25,42331.51
341,21,2024-05-16,2024-05-18,24609.89
342,48,2024-03-26,2024-03-26,49755.43
343,43,2024-03-19,2024-03-21,33649.35
344,13,2024-08-14,2024-08-14,11687.94
345,3,2024-04-28,2024-04-28,26161.14
346,30,2024-03-25,2024-03-28,24639.34
347,29,2024-09-11,2024-09-11,21043.41
348,30,2024-10-15,2024-10-16,27184.48
349,23,2024-03-17,2024-03-17,9211.0
350,11,2024-05-26,2024-05-26,38747.15
351,43,2024-05-20,2024-05-22,31355.48
352,34,2024-10-26,2024-10-26,39508.14
353,5,2024-04-03,2024-04-04,16077.08
354,7,2024-09-13,2024-09-16,44931.55
355,44,2024-01-15,2024-01-15,49160.05
356,24,2024-03-04,2024-03-05,31565.23
357,21,2024-02-25,2024-03-01,11919.9
358,46,2024-02-12,2024-02-13,34679.27
359,18,2024-08-21,2024-08-24,31739.19
360,3,2024-01-04,2024-01-04,34527.77
361,47,2024-08-20,2024-08-20,49991.95
362,14,2024-10-19,2024-10-19,43847.55
363,4,2024-05-25,2024-05-25,38471.0
364,25,2024-10-08,2024-10-10,9164.8
365,16,2024-05-11,2024-05-11,48427.22
366,2,2024-07-24,2024-07-24,43355.56
367,50,2024-03-25,2024-03-26,23107.83
368,20,2024-03-20,2024-03-20,27088.03
369,20,2024-08-10,2024-08-13,45668.04
370,43,2024-03-09,2024-03-09,9325.02
371,13,2024-07-08,2024-07-10,27033.04
372,18,2024-07-18,2024-07-19,30337.57
373,49,2024-08-05,2024-08-05,24014.14
374,12,2024-07-08,2024-07-10,24534.77
375,3,2024-08-07,2024-08-07,28100.37
376,15,2024-08-26,2024-08-29,34142.48
377,34,2024-03-21,2024-03-22,33330.18
378,19,2024-09-26,2024-09-26,26069.86
379,31,2024-02-11,2024-02-16,18517.7
380,20,2024-03-07,2024-03-10,42869.21
381,19,2024-09-25,2024-09-26,30584.11
382,3,2024-10-10,2024-10-10,28103.65
383,27,2024-09-19,2024-09-20,9251.8
384,17,2024-10-19,2024-10-24,20995.59
385,50,2024-10-27,2024-10-27,27655.01
386,43,2024-02-29,2024-03-03,25829.55
387,26,2024-04-04,2024-04-09,7036.64
388,20,2024-08-02,2024-08-05,19127.59
389,43,2024-08-21,2024-08-26,25247.66
390,12,2024-05-16,2024-05-16,14498.08
391,39,2024-02-11,2024-02-14,16669.3
392,35,2024-02-25,2024-02-26,5806.18
393,1,2024-07-22,2024-07-22,12728.09
394,45,2024-09-02,2024-09-03,23229.12
395,40,2024-09-07,2024-09-07,41590.96
396,44,2024-07-04,2024-07-07,48341.37
397,20,2024-07-22,2024-07-27,8943.58
398,13,2024-03-11,2024-03-11,10036.06
399,13,2024-01-10,2024-01-13,43655.54
400,42,2024-04-18,2024-04-19,11531.94
401,41,2024-05-04,2024-05-05,43618.52
402,6,2024-10-03,2024-10-03,18541.3
403,31,2024-08-26,2024-08-26,23984.57
404,10,2024-03-01,2024-03-01,38245.15
405,31,2024-08-16,2024-08-17,5883.25
406,16,2024-08-19,2024-08-21,14060.23
407,26,2024-10-19,2024-10-24,7291.5
408,41,2024-01-06,2024-01-06,43143.33
409,32,2024-08-10,2024-08-11,38168.52
410,3,2024-10-11,2024-10-11,26937.34
411,38,2024-09-06,2024-09-08,37607.64
412,46,2024-09-07,2024-09-07,7731.71
413,37,2024-01-11,2024-01-12,19213.26
414,42,2024-02-03,2024-02-03,23771.19
415,32,2024-08-31,2024-08-31,33021.35
416,45,2024-06-27,2024-06-28,24630.35
417,47,2024-03-24,2024-03-24,13649.06
418,15,2024-06-26,2024-06-27,27843.62
419,46,2024-06-23,2024-06-25,34563.12
420,47,2024-03-09,2024-03-09,37012.33
421,44,2024-08-02,2024-08-07,34362.51
422,31,2024-07-04,2024-07-09,40988.98
423,14,2024-03-24,2024-03-26,17710.57
424,31,2024-02-15,2024-02-18,10809.34
425,39,2024-04-13,2024-04-13,27148.36
426,20,2024-08-01,2024-08-02,15562.35
427,2,2024-10-13,2024-10-13,21145.4
428,44,2024-05-14,2024-05-14,12137.25
429,5,2024-09-15,2024-09-15,20198.06
430,15,2024-02-29,2024-03-02,10430.96
431,17,2024-04-25,2024-04-26,49714.83
432,3,2024-07-01,2024-07-06,39654.27
433,10,2024-10-13,2024-10-13,43403.37
434,43,2024-09-21,2024-09-23,9686.39
435,30,2024-01-27,2024-01-28,48319.12
436,40,2024-02-27,2024-02-27,32434.51
437,36,2024-02-23,2024-02-28,6888.62
438,41,2024-02-24,2024-02-24,10312.67
439,11,2024-04-16,2024-04-16,37775.72
440,33,2024-08-15,2024-08-20,27427.6
441,42,2024-02-21,2024-02-21,21368.16
442,13,2024-03-12,2024-03-12,24759.88
443,50,2024-08-01,2024-08-06,5296.44
444,19,2024-08-31,2024-08-31,27726.02
445,24,2024-02-14,2024-02-14,37183.99
446,41,2024-08-01,2024-08-01,34924.79
447,49,2024-03-19,2024-03-24,28834.26
448,28,2024-04-27,2024-04-27,23603.42
449,34,2024-07-29,2024-07-30,40757.33
450,29,2024-07-05,2024-07-05,11551.29
451,34,2024-01-07,2024-01-10,47463.93
452,21,2024-02-14,2024-02-14,23074.29
453,4,2024-03-26,2024-03-27,22696.98
454,42,2024-01-20,2024-01-23,11792.84
455,41,2024-10-22,2024-10-22,49102.12
456,27,2024-09-24,2024-09-24,23090.13
457,20,2024-10-11,2024-10-16,37469.8
458,1,2024-06-10,2024-06-10,42215.16
459,10,2024-09-28,2024-09-30,36513.28
460,14,2024-08-17,2024-08-20,44941.09
461,23,2024-08-15,2024-08-18,44945.37
462,13,2024-07-27,2024-08-01,44643.86
463,35,2024-02-14,2024-02-14,20052.18
464,35,2024-03-06,2024-03-08,17776.75
465,36,2024-02-18,2024-02-20,19051.36
466,41,2024-06-24,2024-06-29,12201.23
467,35,2024-01-16,2024-01-21,31662.66
468,50,2024-05-04,2024-05-09,18677.39
469,8,2024-08-05,2024-08-07,37939.38
470,41,2024-07-10,2024-07-10,27837.47
471,49,2024-03-05,2024-03-05,34293.31
472,20,2024-03-05,2024-03-06,30759.59
473,22,2024-01-04,2024-01-05,49232.78
474,46,2024-10-25,2024-10-27,45245.25
475,39,2024-10-01,2024-10-06,15522.71
476,43,2024-06-03,2024-06-03,40315.52
477,9,2024-10-21,2024-10-24,37145.79
478,16,2024-09-24,2024-09-27,9735.21
479,13,2024-09-22,2024-09-24,42027.92
480,7,2024-07-04,2024-07-05,11594.9
481,27,2024-08-06,2024-08-11,8687.62
482,9,2024-02-02,2024-02-03,26431.39
483,24,2024-08-17,2024-08-17,35457.01
484,36,2024-07-26,2024-07-28,28352.52
485,17,2024-07-22,2024-07-27,31293.67
486,45,2024-08-05,2024-08-06,46896.6
487,27,2024-09-08,2024-09-11,42071.53
488,9,2024-03-15,2024-03-17,26814.4
489,46,2024-08-23,2024-08-23,28093.35
490,45,2024-09-28,2024-09-28,14568.91
491,48,2024-08-31,2024-08-31,12057.79
492,8,2024-10-14,2024-10-14,32072.01
493,8,2024-07-29,2024-07-29,21631.37
494,34,2024-05-29,2024-05-29,11898.7
495,24,2024-07-10,2024-07-10,18646.7
496,10,2024-09-06,2024-09-06,11396.29
497,20,2024-08-04,2024-08-04,45007.57
498,48,2024-04-21,2024-04-21,26995.71
499,23,2024-03-04,2024-03-06,8040.4
500,31,2024-01-24,2024-01-25,30787.66
