Product Name,Unit Cost,Selling Price,Current Stock,Category,Warehouse,Min Stock,Max Stock
Camera Lens,231.77,339.19,379,Electronics,International,5,838
Tripod,391.9,484.17,116,Electronics,International,1,796
Camera Bag,436.05,648.23,34,Electronics,Midwest,1,799
Ballpoint Pens (12pk),75.92,129.95,342,Office Supplies,South,6,3967
Sticky Notes (8pk),12.94,16.97,1238,Office Supplies,East Coast,7,3382
File Folders (24pk),61.16,107.94,1186,Office Supplies,South,12,3185
Printer Paper A4,6.92,8.64,1366,Office Supplies,West Coast,15,3914
Ink Cartridge Black,31.43,51.22,508,Office Supplies,East Coast,13,2810
Ink Cartridge Color,101.08,139.49,667,Office Supplies,Midwest,7,2019
Desk Organizer,93.55,143.86,224,Office Supplies,East Coast,7,3101
Paper Shredder,76.38,97.73,734,Office Supplies,East Coast,7,3800
Laminator,56.06,72.58,1727,Office Supplies,International,14,3252
Label Maker,79.81,127.75,1155,Office Supplies,International,14,3908
Whiteboard 48x36,16.43,28.37,561,Office Supplies,Primary,8,3822
Markers (8pk),111.62,144.35,597,Office Supplies,West Coast,11,3469
Eraser,31.34,49.53,560,Office Supplies,Primary,20,2514
Stapler,14.75,21.45,586,Office Supplies,West Coast,6,2007
Staples (5000pk),115.9,183.38,556,Office Supplies,Midwest,10,3518
Tape Dispenser,83.2,121.19,39,Office Supplies,International,8,2154
Scissors,135.69,207.25,1729,Office Supplies,South,16,3192
Paper Clips (100pk),23.07,29.45,651,Office Supplies,Primary,16,3841
Binder Clips (24pk),134.94,178.94,531,Office Supplies,South,8,2724
Rubber Bands (1lb),132.74,191.65,1291,Office Supplies,East Coast,9,3895
Envelopes (100pk),129.83,231.84,1680,Office Supplies,Midwest,10,3805
Notebooks (6pk),4.69,7.7,700,Office Supplies,International,18,3642
Planner 2024,129.75,218.82,566,Office Supplies,International,10,3612
Calculator,17.11,29.49,1778,Office Supplies,East Coast,20,2455
Ruler,122.67,181.08,645,Office Supplies,Primary,12,2456
Hole Punch,99.34,142.96,590,Office Supplies,West Coast,7,3980
Letter Tray,53.32,80.28,1411,Office Supplies,Primary,15,3923
Magazine Rack,18.19,32.42,385,Office Supplies,Primary,13,2078
Bulletin Board,89.89,126.51,1630,Office Supplies,South,15,2893
Push Pins (100pk),147.65,187.43,1862,Office Supplies,Primary,11,2521
Correction Tape (3pk),106.61,128.04,1915,Office Supplies,Midwest,11,2745
Glue Sticks (6pk),11.43,18.27,696,Office Supplies,Primary,15,3358
Index Cards (200pk),108.24,149.39,653,Office Supplies,Midwest,18,2668
Graph Paper Pad,104.88,160.74,412,Office Supplies,Midwest,18,3361
Legal Pads (3pk),101.92,177.51,1280,Office Supplies,South,14,2831
Presentation Folders (25pk),125.23,173.11,450,Office Supplies,South,18,3609
Sheet Protectors (50pk),91.39,127.34,924,Office Supplies,East Coast,19,3383
Report Covers (12pk),77.16,129.34,1985,Office Supplies,Primary,10,3349
Clipboard,43.28,69.17,1288,Office Supplies,East Coast,15,2191
Pen Holder,101.25,135.15,427,Office Supplies,Primary,9,2050
Office Chair Ergonomic,316.47,393.23,100,Furniture,Midwest,0,158
Standing Desk,1066.78,1357.69,93,Furniture,Midwest,2,149
L-Shaped Desk,497.59,569.38,90,Furniture,Primary,0,196
Bookshelf 5-Tier,940.75,1096.59,91,Furniture,Primary,2,159
Filing Cabinet 3-Drawer,682.16,938.13,17,Furniture,Midwest,1,117
Conference Table,811.07,1132.55,78,Furniture,Midwest,1,196
Guest Chair,746.8,982.63,66,Furniture,Midwest,1,170
Desk Lamp,1079.73,1428.59,62,Furniture,East Coast,1,133
Floor Mat,1012.64,1198.15,68,Furniture,East Coast,1,180
Monitor Riser,351.28,394.57,38,Furniture,West Coast,0,134
Storage Cabinet,404.06,509.94,19,Furniture,Midwest,0,129
Coat Rack,841.92,1104.54,10,Furniture,West Coast,1,152
Waste Basket,664.86,814.28,28,Furniture,South,1,149
Desk Drawer Unit,1136.89,1257.24,99,Furniture,Midwest,2,148
Computer Desk,36.9,44.48,98,Furniture,South,1,153
Gaming Chair,904.59,1143.26,79,Furniture,East Coast,0,162
Recliner,349.33,435.16,51,Furniture,International,1,185
Sofa 3-Seater,963.83,1269.61,61,Furniture,South,0,179
Coffee Table,61.55,74.98,74,Furniture,Primary,2,103
Side Table,782.02,892.06,61,Furniture,West Coast,0,106
TV Stand,473.55,550.97,43,Furniture,Midwest,1,197
Shoe Rack,355.56,492.58,55,Furniture,Midwest,1,110
Wardrobe,52.68,66.47,46,Furniture,Primary,0,183
Dresser,944.04,1223.03,98,Furniture,East Coast,0,131
Nightstand,1011.9,1301.71,32,Furniture,International,0,160
Bed Frame Queen,163.84,226.81,61,Furniture,West Coast,2,132
Mattress Queen,226.31,290.17,97,Furniture,East Coast,2,114
Dining Table 6-seat,1158.72,1312.17,5,Furniture,International,1,173
Dining Chair,1092.39,1324.62,93,Furniture,South,0,109
Bar Stool,838.02,1079.51,15,Furniture,West Coast,2,198
Kitchen Island,1024.84,1311.92,17,Furniture,Primary,2,200
Pantry Cabinet,436.23,535.91,49,Furniture,International,0,164
Bathroom Vanity,429.24,581.57,64,Furniture,West Coast,0,155
Mirror Cabinet,773.63,1043.33,92,Furniture,East Coast,0,155
Laundry Hamper,888.54,1234.75,36,Furniture,Midwest,2,168
Room Divider,573.9,773.46,77,Furniture,East Coast,1,141
Accent Chair,1001.96,1128.21,59,Furniture,Midwest,0,196
Ottoman,696.72,906.05,45,Furniture,West Coast,0,163
Console Table,242.75,282.47,35,Furniture,South,1,135
Bench Storage,850.38,1005.9,3,Furniture,Primary,2,124
All-Purpose Cleaner,11.17,16.23,4598,Cleaning,International,27,8900
Glass Cleaner,29.05,42.82,191,Cleaning,East Coast,17,7410
Disinfectant Spray,17.37,23.83,4814,Cleaning,South,35,8876
Floor Cleaner,22.18,32.44,4558,Cleaning,International,33,7882
Bathroom Cleaner,19.24,27.0,1938,Cleaning,West Coast,19,6577
Degreaser,6.54,9.93,1566,Cleaning,International,24,6772
Air Freshener,20.4,32.89,4347,Cleaning,Primary,50,7318
Microfiber Cloths (12pk),33.64,47.03,3006,Cleaning,Primary,23,7476
Sponges (6pk),28.9,37.95,422,Cleaning,West Coast,15,9533
Rubber Gloves (3pk),28.5,37.42,4071,Cleaning,South,18,5100
Trash Bags 13gal (50pk),12.8,19.06,2841,Cleaning,West Coast,23,5420
Paper Towels (12pk),37.76,56.22,585,Cleaning,Primary,37,9028
Toilet Paper (24pk),23.93,38.13,1292,Cleaning,West Coast,21,9610
Hand Soap (6pk),5.24,7.2,4621,Cleaning,South,38,9966
Hand Sanitizer,32.05,43.68,4330,Cleaning,Midwest,36,8690
Mop,13.3,20.54,3562,Cleaning,South,31,9658
Broom,4.29,7.42,862,Cleaning,West Coast,25,6728
Dustpan,27.1,36.0,1473,Cleaning,East Coast,47,5614
Vacuum Bags (6pk),2.1,3.1,4914,Cleaning,Primary,42,7385
Dish Soap,10.8,17.32,3769,Cleaning,West Coast,16,6912
Dishwasher Tablets (30pk),31.94,49.91,1670,Cleaning,South,39,5940
Laundry Detergent,10.54,13.96,2226,Cleaning,Primary,21,5584
Fabric Softener,8.31,11.67,4712,Cleaning,Primary,30,8597
Stain Remover,19.81,27.77,3347,Cleaning,South,29,9099
Bleach,20.76,26.78,376,Cleaning,South,39,7640
Duster Extendable,11.51,14.91,4762,Cleaning,International,49,5169
Window Squeegee,33.21,51.08,1485,Cleaning,International,42,9251
Toilet Brush,18.8,26.11,4845,Cleaning,Primary,39,9028
Plunger,19.86,28.88,2680,Cleaning,West Coast,18,6317
Drain Cleaner,17.64,26.42,3330,Cleaning,Midwest,47,5300
Lint Roller,5.35,7.36,999,Cleaning,Primary,37,9215
Carpet Cleaner,26.99,41.06,3435,Cleaning,South,15,6536
Wood Polish,15.75,25.64,3671,Cleaning,West Coast,15,6667
Stainless Steel Cleaner,22.87,39.2,3639,Cleaning,Primary,43,5994
Oven Cleaner,38.98,60.59,2010,Cleaning,South,22,7545
Grout Cleaner,2.52,3.66,1890,Cleaning,Primary,19,8780
First Aid Kit,130.6,157.23,965,Safety,International,6,1521
Fire Extinguisher,56.86,82.0,493,Safety,South,5,1467
Safety Goggles,31.49,38.31,623,Safety,East Coast,10,1764
Work Gloves,173.21,215.94,818,Safety,South,8,1348
Hard Hat,55.63,64.02,753,Safety,South,6,1857
Safety Vest,117.24,161.91,896,Safety,South,4,1457
Ear Plugs (50pk),98.42,124.63,791,Safety,Midwest,10,1386
Dust Masks (50pk),186.77,271.63,724,Safety,Midwest,5,1585
Face Shields (5pk),49.01,69.66,54,Safety,Midwest,7,1762
Safety Boots,141.93,203.53,405,Safety,Primary,4,1507
Knee Pads,27.87,41.47,349,Safety,Midwest,3,1895
Back Support Belt,22.64,33.25,25,Safety,International,4,1419
Anti-Fatigue Mat,194.08,228.27,810,Safety,South,6,1346
Wet Floor Sign,139.46,192.1,882,Safety,International,7,1872
Safety Cone,172.29,221.05,334,Safety,South,9,1893
Fire Blanket,10.07,11.82,656,Safety,International,6,1232
Smoke Detector,20.8,31.04,788,Safety,East Coast,3,1454
Carbon Monoxide Detector,139.72,204.86,57,Safety,Primary,7,1815
Emergency Kit,60.79,77.88,159,Safety,Midwest,5,1543
Flashlight Heavy Duty,114.49,163.42,184,Safety,South,4,1080
Batteries AA (24pk),174.56,238.61,256,Safety,South,9,1934
Batteries AAA (24pk),31.19,40.9,270,Safety,International,9,1261
Extension Cord 25ft,4.85,6.94,932,Safety,South,6,1693
Power Strip 6-outlet,34.12,44.51,363,Safety,Midwest,6,1654
Cable Cover,138.99,182.06,319,Safety,Midwest,5,1393
Lockout Tagout Kit,24.01,30.82,377,Safety,West Coast,6,1716
Spill Kit,7.32,10.54,415,Safety,South,6,1008
Eye Wash Station,173.42,246.67,60,Safety,West Coast,9,1852
Chemical Storage Cabinet,155.82,191.74,831,Safety,International,7,1224
Gas Detector,40.46,50.08,783,Safety,Primary,4,1643
Cardboard Box Small,72.37,105.55,5161,Packaging,South,81,10546
Cardboard Box Medium,29.82,37.35,4935,Packaging,East Coast,66,16807
Cardboard Box Large,16.86,25.54,6094,Packaging,West Coast,92,18221
Bubble Wrap Roll,66.61,86.78,7994,Packaging,Primary,62,15549
Packing Peanuts,38.0,46.74,3796,Packaging,West Coast,75,19131
Shipping Tape (6pk),8.13,11.04,4432,Packaging,Midwest,93,12024
Labels (500pk),30.12,45.17,4395,Packaging,International,99,16242
Poly Mailers (100pk),75.28,93.6,3930,Packaging,South,85,10410
Shrink Wrap Roll,70.85,100.93,3726,Packaging,International,33,17606
Packing Paper (25lb),24.87,33.91,2390,Packaging,West Coast,30,10609
Foam Sheets (50pk),79.68,99.32,3946,Packaging,Midwest,93,12222
Strapping Tape,36.84,54.09,8950,Packaging,International,78,19622
Pallet Wrap,58.4,90.76,1722,Packaging,West Coast,87,16686
Void Fill,3.58,4.83,7364,Packaging,West Coast,81,13868
Tissue Paper (100pk),8.85,13.05,9020,Packaging,Midwest,70,10992
Gift Boxes (12pk),22.79,36.17,7550,Packaging,International,36,13475
Ribbon Roll,51.52,81.84,928,Packaging,East Coast,67,13990
Gift Bags (24pk),63.17,80.99,9180,Packaging,East Coast,51,19607
Kraft Paper Roll,65.23,84.36,2517,Packaging,East Coast,25,14542
Corrugated Roll,79.01,111.88,2958,Packaging,East Coast,39,10422
Coffee Beans 1lb,2.71,3.87,1004,Food & Beverage,Primary,25,4326
Ground Coffee 2lb,10.36,12.1,1754,Food & Beverage,International,23,3465
Tea Bags (100pk),5.05,6.6,1512,Food & Beverage,Primary,23,5431
Sugar 5lb,23.7,29.09,2549,Food & Beverage,International,8,5978
Creamer (50pk),27.03,35.42,157,Food & Beverage,Midwest,8,4961
Cups 12oz (100pk),22.46,26.68,2947,Food & Beverage,Primary,21,3301
Lids 12oz (100pk),17.46,20.99,546,Food & Beverage,International,15,5557
Stirrers (1000pk),30.1,42.12,1590,Food & Beverage,West Coast,26,5173
Napkins (500pk),23.78,32.39,436,Food & Beverage,International,29,3468
Paper Plates (100pk),33.24,47.17,2982,Food & Beverage,Midwest,13,4761
Plastic Cutlery Set (200pk),44.63,57.79,1887,Food & Beverage,International,19,4703
Water Bottles (24pk),6.56,8.52,2754,Food & Beverage,East Coast,15,4533
Snack Bars (12pk),34.97,46.02,403,Food & Beverage,Midwest,9,3381
Nuts Variety (6pk),6.64,9.35,562,Food & Beverage,South,24,3245
Dried Fruit (6pk),47.92,64.53,2774,Food & Beverage,West Coast,10,4682
Crackers (8pk),43.93,64.99,1762,Food & Beverage,West Coast,30,3210
Peanut Butter,30.82,39.24,2397,Food & Beverage,East Coast,23,3871
Jelly,33.52,41.18,473,Food & Beverage,West Coast,18,5278
Canned Soup (6pk),7.51,9.37,956,Food & Beverage,South,20,5297
Canned Tuna (6pk),31.45,43.24,137,Food & Beverage,International,26,5694
Rice 10lb,14.84,18.0,2908,Food & Beverage,West Coast,16,4391
Pasta (6pk),2.29,3.33,2349,Food & Beverage,Primary,28,4641
Olive Oil,8.81,12.08,155,Food & Beverage,East Coast,9,5172
Vinegar,20.06,26.25,674,Food & Beverage,International,18,4276
Salt & Pepper Set,17.57,25.99,2472,Food & Beverage,East Coast,9,3215
Spice Rack,9.56,13.06,2790,Food & Beverage,Midwest,9,4114
Honey,33.77,44.58,1840,Food & Beverage,East Coast,20,4118
Granola,38.24,45.5,1790,Food & Beverage,International,10,4160
Protein Powder,34.57,45.64,2762,Food & Beverage,East Coast,16,3186
Electrolyte Mix (30pk),20.97,28.51,61,Food & Beverage,East Coast,13,4234
Wireless Mouse XL,114.1,144.33,172,Electronics,Midwest,1,503
Mechanical Keyboard Single,347.37,419.67,277,Electronics,South,2,756
USB-C Hub Compact,536.1,701.96,208,Electronics,Primary,1,723
Webcam HD Eco,737.32,1133.96,299,Electronics,Midwest,4,793
Bluetooth Speaker Single,513.91,657.95,212,Electronics,West Coast,1,994
Portable Charger Lite,642.05,916.95,430,Electronics,Midwest,3,545
HDMI Cable Compact,89.16,120.01,210,Electronics,Midwest,5,540
SSD 1TB Compact,251.67,327.87,175,Electronics,South,2,539
RAM 16GB Bulk,95.65,131.95,468,Electronics,International,3,679
Graphics Card Compact,518.13,630.28,57,Electronics,East Coast,2,631
CPU Processor Lite,483.91,722.04,340,Electronics,International,1,590
Motherboard Eco,373.84,524.75,301,Electronics,South,4,848
Power Supply 750W Bulk,510.06,729.91,447,Electronics,Midwest,3,577
PC Case Plus,377.79,541.8,412,Electronics,Primary,3,802
Monitor 27 inch V2,408.33,526.62,236,Electronics,West Coast,1,529
Laptop Stand Compact,233.23,335.87,442,Electronics,South,1,814
Noise Cancelling Headphones Premium,310.66,438.39,493,Electronics,South,1,730
Smart Watch Bulk,154.65,219.95,261,Electronics,Primary,2,990
Fitness Tracker Eco,87.28,135.69,180,Electronics,International,1,758
Wireless Earbuds Lite,36.12,53.04,229,Electronics,South,5,767
Tablet 10 inch Lite,294.3,460.01,203,Electronics,West Coast,4,896
E-Reader Bulk,480.32,722.95,336,Electronics,West Coast,3,533
Smart Plug Plus,448.58,593.9,134,Electronics,East Coast,5,947
WiFi Router V2,69.79,101.1,474,Electronics,International,3,658
Network Switch Single,531.4,641.95,367,Electronics,South,1,658
External HDD 2TB V3,516.58,670.42,70,Electronics,International,5,547
Flash Drive 64GB Bulk,341.61,448.47,190,Electronics,East Coast,3,592
Memory Card 128GB V2,758.4,1038.11,120,Electronics,Primary,2,579
Desk Lamp LED Max,676.32,808.55,399,Electronics,International,5,927
Phone Charger Heavy Duty,423.59,613.3,453,Electronics,South,5,567
Screen Protector V3,127.63,157.16,359,Electronics,East Coast,5,914
Phone Case Single,352.95,471.15,351,Electronics,Midwest,2,996
Laptop Sleeve Standard,231.52,344.23,234,Electronics,East Coast,2,773
Monitor Arm Max,772.65,1161.27,467,Electronics,International,2,688
Keyboard Wrist Rest Standard,787.63,1069.41,149,Electronics,South,4,757
Mouse Pad XL V3,773.18,1173.38,415,Electronics,West Coast,5,570
Cable Management Kit Pro,514.74,794.43,288,Electronics,South,1,864
Surge Protector Compact,104.12,123.67,87,Electronics,South,3,730
UPS Battery Lite,665.68,793.01,471,Electronics,Midwest,2,918
Microphone USB Heavy Duty,282.92,328.75,32,Electronics,West Coast,4,757
Ring Light Mini,312.0,370.26,119,Electronics,Primary,1,663
Green Screen Compact,573.19,745.65,79,Electronics,West Coast,2,519
Streaming Deck Heavy Duty,664.66,972.55,76,Electronics,South,4,729
Capture Card Pro,725.16,840.14,115,Electronics,International,2,780
VR Headset Standard,424.58,509.51,152,Electronics,Primary,2,654
Drone Camera Pro,194.56,279.69,323,Electronics,Primary,4,532
Action Camera Compact,724.59,1027.85,13,Electronics,East Coast,5,794
Digital Camera Single,119.14,160.02,319,Electronics,South,3,623
Camera Lens V3,153.91,223.28,273,Electronics,South,3,534
Tripod Premium,408.33,651.18,288,Electronics,Midwest,1,699
Camera Bag Pro,510.36,812.22,134,Electronics,Primary,1,682
Ballpoint Pens (12pk) V2,36.93,58.88,232,Office Supplies,Primary,15,2273
Sticky Notes (8pk) V2,82.36,139.03,378,Office Supplies,Midwest,19,3424
File Folders (24pk) Bulk,28.16,36.07,1486,Office Supplies,West Coast,19,2075
Printer Paper A4 Mini,7.53,9.94,105,Office Supplies,West Coast,15,3911
Ink Cartridge Black Premium,60.34,101.93,989,Office Supplies,International,13,2074
Ink Cartridge Color Mini,43.63,74.93,117,Office Supplies,Primary,15,2559
Desk Organizer XL,55.83,96.79,1542,Office Supplies,Midwest,19,3832
Paper Shredder V2,146.08,218.79,1038,Office Supplies,South,16,3892
Laminator Max,120.37,196.96,181,Office Supplies,East Coast,18,3233
Label Maker Premium,44.77,56.48,691,Office Supplies,Midwest,14,2627
Whiteboard 48x36 Standard,107.93,140.31,929,Office Supplies,Primary,16,2915
Markers (8pk) Single,130.64,184.4,910,Office Supplies,Primary,13,3309
Eraser Plus,101.01,145.83,1070,Office Supplies,Primary,10,3951
Stapler Lite,127.45,204.79,917,Office Supplies,Primary,6,2258
Staples (5000pk) Mini,117.0,166.12,804,Office Supplies,East Coast,6,3239
Tape Dispenser Bulk,68.04,96.79,929,Office Supplies,East Coast,7,3175
Scissors Premium,55.68,77.32,590,Office Supplies,Primary,12,3967
Paper Clips (100pk) Pro,110.62,165.87,812,Office Supplies,West Coast,8,2536
Binder Clips (24pk) Single,67.49,121.33,604,Office Supplies,Primary,20,2409
Rubber Bands (1lb) Lite,128.07,188.42,1860,Office Supplies,International,19,2179
Envelopes (100pk) Compact,148.0,236.9,1473,Office Supplies,South,7,3126
Notebooks (6pk) Max,133.81,228.92,1477,Office Supplies,West Coast,10,3625
Planner 2024 Premium,34.41,61.63,1642,Office Supplies,Midwest,9,2484
Calculator Pro,54.77,84.53,977,Office Supplies,Primary,9,3253
Ruler Plus,47.08,84.73,1492,Office Supplies,Midwest,20,3076
Hole Punch XL,62.01,95.8,276,Office Supplies,Primary,15,3315
Letter Tray Eco,70.41,106.35,282,Office Supplies,East Coast,10,3572
Magazine Rack V3,75.93,130.67,1722,Office Supplies,East Coast,8,3061
Bulletin Board Max,25.53,35.58,1472,Office Supplies,South,12,2708
Push Pins (100pk) Heavy Duty,43.32,54.03,422,Office Supplies,International,13,2256
Correction Tape (3pk) Max,92.55,116.25,1332,Office Supplies,South,10,3212
Glue Sticks (6pk) Lite,26.51,41.74,1867,Office Supplies,South,15,3725
Index Cards (200pk) Pro,123.96,150.86,113,Office Supplies,East Coast,13,3333
Graph Paper Pad XL,86.25,135.49,82,Office Supplies,International,20,3820
Legal Pads (3pk) Premium,44.16,78.34,1009,Office Supplies,International,12,3648
Presentation Folders (25pk) V3,45.32,56.37,142,Office Supplies,Midwest,10,2900
Sheet Protectors (50pk) Eco,70.2,98.57,314,Office Supplies,International,15,3764
Report Covers (12pk) V2,110.4,189.5,836,Office Supplies,West Coast,9,3557
Clipboard Premium,84.69,117.84,975,Office Supplies,Midwest,8,2547
Pen Holder Mini,21.99,27.06,1956,Office Supplies,South,17,3769
Office Chair Ergonomic V3,320.48,435.72,22,Furniture,International,1,173
Standing Desk V2,252.11,289.37,67,Furniture,West Coast,1,163
L-Shaped Desk Eco,57.12,79.03,66,Furniture,East Coast,1,130
Bookshelf 5-Tier Standard,442.89,493.89,65,Furniture,International,2,183
Filing Cabinet 3-Drawer Eco,364.33,401.66,15,Furniture,West Coast,1,117
Conference Table Single,457.96,559.16,7,Furniture,South,1,106
Guest Chair Premium,257.75,326.3,11,Furniture,Midwest,1,164
Desk Lamp XL,673.33,907.38,81,Furniture,Primary,2,178
Floor Mat Lite,1170.85,1426.3,45,Furniture,East Coast,2,146
Monitor Riser Mini,734.88,896.86,7,Furniture,East Coast,0,104
Storage Cabinet Single,419.66,521.27,60,Furniture,South,0,177
Coat Rack Lite,413.72,531.18,22,Furniture,International,1,178
Waste Basket Compact,380.1,456.47,67,Furniture,International,2,162
Desk Drawer Unit Standard,380.75,512.0,49,Furniture,Primary,1,186
Computer Desk V3,712.93,954.63,94,Furniture,Primary,2,180
Gaming Chair Standard,585.27,813.6,76,Furniture,International,2,129
Recliner Pro,712.72,820.45,82,Furniture,Midwest,2,179
Sofa 3-Seater Lite,991.34,1162.5,75,Furniture,East Coast,2,114
Coffee Table Pro,546.02,669.22,54,Furniture,Midwest,2,126
Side Table Premium,936.72,1289.07,96,Furniture,International,2,107
TV Stand Lite,636.86,807.71,86,Furniture,Midwest,1,167
Shoe Rack V2,1149.32,1422.74,70,Furniture,West Coast,1,169
Wardrobe Bulk,933.23,1228.39,84,Furniture,South,2,133
Dresser Eco,254.95,299.3,73,Furniture,West Coast,1,128
Nightstand XL,368.13,427.83,92,Furniture,Midwest,1,140
Bed Frame Queen V2,685.77,946.6,94,Furniture,Primary,1,136
Mattress Queen Standard,821.65,997.41,52,Furniture,East Coast,1,198
Dining Table 6-seat Max,79.22,109.85,12,Furniture,International,1,156
Dining Chair Max,904.39,1052.89,70,Furniture,International,1,171
Bar Stool Max,190.61,244.88,77,Furniture,Primary,0,131
Kitchen Island Bulk,1089.07,1271.71,31,Furniture,Midwest,0,112
Pantry Cabinet V2,869.31,982.46,100,Furniture,South,0,100
Bathroom Vanity Heavy Duty,214.79,278.34,62,Furniture,East Coast,1,183
Mirror Cabinet XL,1157.78,1385.11,84,Furniture,Primary,0,198
Laundry Hamper Bulk,701.74,884.58,94,Furniture,Midwest,0,122
Room Divider Heavy Duty,1010.0,1393.98,6,Furniture,Midwest,1,200
Accent Chair Lite,1125.83,1563.37,39,Furniture,West Coast,0,101
Ottoman Standard,735.26,1013.58,44,Furniture,International,1,158
Console Table Premium,643.45,879.45,19,Furniture,West Coast,2,159
Bench Storage Mini,976.31,1170.8,95,Furniture,West Coast,1,182
All-Purpose Cleaner Single,9.08,14.69,2466,Cleaning,East Coast,48,6582
Glass Cleaner Standard,34.53,58.65,3553,Cleaning,Primary,44,7686
Disinfectant Spray V3,27.43,36.82,1201,Cleaning,East Coast,42,7650
Floor Cleaner Pro,11.91,16.29,2237,Cleaning,South,33,7473
Bathroom Cleaner Single,23.77,32.82,2995,Cleaning,International,27,5508
Degreaser Plus,19.69,26.18,4166,Cleaning,International,31,5961
Air Freshener Heavy Duty,37.74,54.11,1859,Cleaning,Midwest,26,6094
Microfiber Cloths (12pk) Lite,19.29,33.65,3110,Cleaning,Midwest,38,9499
Sponges (6pk) XL,22.43,35.49,1839,Cleaning,Primary,27,9880
Rubber Gloves (3pk) Premium,18.98,30.4,689,Cleaning,Primary,48,5919
Trash Bags 13gal (50pk) Compact,22.81,34.28,4741,Cleaning,East Coast,46,6227
Paper Towels (12pk) V2,34.47,50.7,1732,Cleaning,Primary,49,9004
Toilet Paper (24pk) Heavy Duty,21.39,35.39,3764,Cleaning,Midwest,20,9204
Hand Soap (6pk) Eco,23.43,35.83,2574,Cleaning,West Coast,13,8243
Hand Sanitizer Compact,2.11,2.87,648,Cleaning,West Coast,14,8470
Mop Single,4.42,7.72,615,Cleaning,West Coast,42,5259
Broom V3,8.84,11.65,3493,Cleaning,Midwest,35,8133
Dustpan Compact,36.85,53.02,707,Cleaning,International,46,6089
Vacuum Bags (6pk) Compact,15.22,20.38,4451,Cleaning,East Coast,37,9332
Dish Soap Single,39.19,65.35,236,Cleaning,International,31,8792
Dishwasher Tablets (30pk) Single,22.69,34.4,1931,Cleaning,West Coast,27,8773
Laundry Detergent Lite,12.47,21.43,974,Cleaning,South,14,8434
Fabric Softener XL,37.58,63.68,2021,Cleaning,Primary,25,5551
Stain Remover Standard,3.28,5.08,448,Cleaning,Midwest,27,5362
Bleach Eco,10.9,14.81,512,Cleaning,West Coast,20,9127
