Supplier Name,Ship Date,ETA,Actual Delivery,Quantity,Shipping Cost,Status,Tracking Number
OfficeDirect Wholesale,2026-01-28,2026-02-06,2026-02-09,3869,1522.64,delivered,TRK378551071
EcoSafe Cleaning,2026-02-18,2026-04-01,2026-04-14,2316,8822.77,customs,TRK759794924
ShipReady Corp.,2026-05-22,2026-07-02,2026-06-30,3159,10100.96,in_transit,TRK715972736
EcoSafe Cleaning,2026-01-30,2026-03-07,2026-03-10,497,20446.15,delivered,TRK557079318
SparkleChem Corp.,2026-02-15,2026-03-11,2026-03-24,4407,23065.63,customs,TRK694197722
Mediterranean Imports,2026-04-14,2026-05-04,2026-05-09,2511,9843.23,delivered,TRK188161441
OfficeDirect Wholesale,2026-01-14,2026-02-03,2026-02-04,401,14564.63,delivered,TRK592344898
EcoSafe Cleaning,2025-12-31,2026-01-18,2026-02-02,412,14804.5,in_transit,TRK835979186
EuroChip GmbH,2026-04-23,2026-05-04,2026-05-02,1538,23947.6,in_transit,TRK466397551
EcoClean Products,2026-05-05,2026-05-16,2026-05-29,2949,2141.0,pending,TRK647208999
GreenClean Products,2026-05-21,2026-06-13,2026-06-19,936,17933.99,delayed,TRK277350019
American Oak Works,2026-01-24,2026-01-27,2026-01-24,4452,21518.38,pending,TRK634893905
Organic Harvest Co.,2026-02-23,2026-03-02,2026-02-28,428,5299.92,delivered,TRK878863035
WrapIt International,2026-05-23,2026-06-25,2026-06-29,2400,19051.36,pending,TRK647047046
Gourmet Imports LLC,2026-03-17,2026-04-04,2026-04-06,3541,11799.03,delayed,TRK671163511
EcoSafe Cleaning,2026-02-10,2026-03-02,2026-03-06,685,19455.87,delivered,TRK250675477
ModernHome Mfg.,2026-03-31,2026-05-07,2026-05-15,2159,6219.11,pending,TRK616582041
BambooCraft Asia,2026-05-15,2026-06-09,2026-06-23,2858,13543.93,in_transit,TRK766762446
WrapIt International,2026-03-19,2026-04-12,2026-04-22,4518,3883.27,delayed,TRK321226522
EuroChip GmbH,2026-04-25,2026-06-09,2026-06-08,1272,9021.69,delayed,TRK638383416
Asia Pacific Foods,2025-12-23,2026-01-28,2026-01-31,1429,17295.17,in_transit,TRK612374483
TechParts Direct,2026-04-29,2026-05-19,2026-05-19,1095,23093.74,delayed,TRK601832719
Global Parts Ltd.,2025-12-11,2026-01-09,2026-01-20,529,11540.24,customs,TRK855337782
WorkSafe Solutions,2025-12-14,2026-01-27,2026-01-29,2508,6490.71,delayed,TRK422599479
Gourmet Imports LLC,2026-01-29,2026-02-21,2026-03-04,618,2756.97,in_transit,TRK501433044
Sunrise Farms Direct,2025-12-03,2026-01-01,2026-01-14,4035,5430.08,in_transit,TRK240142045
EcoSafe Cleaning,2026-04-19,2026-05-16,2026-05-22,2649,15114.39,pending,TRK347854968
Tokyo Precision Co.,2026-03-19,2026-04-18,2026-05-01,2398,9405.31,delivered,TRK861009772
Pacific Trading Inc.,2026-05-26,2026-07-04,2026-07-01,1625,21450.9,customs,TRK829389888
ProShield Equipment,2026-01-21,2026-02-23,2026-02-24,3146,4922.03,delivered,TRK846309536
Organic Harvest Co.,2026-03-01,2026-03-06,2026-03-08,4071,15919.35,customs,TRK266015593
PackRight Solutions,2026-03-12,2026-03-26,2026-03-26,104,4490.24,customs,TRK938856103
FreshSource Distributors,2026-04-18,2026-05-24,2026-06-07,304,12317.64,pending,TRK544724888
Gourmet Imports LLC,2025-12-17,2026-01-08,2026-01-23,4093,1238.04,customs,TRK985114819
SafeGuard Manufacturing,2026-01-01,2026-02-12,2026-02-09,1008,14167.36,pending,TRK811922341
Iberian Woodcraft,2026-03-22,2026-04-08,2026-04-12,2880,10468.38,delivered,TRK724005862
Industrial Safety Corp.,2026-05-23,2026-06-06,2026-06-05,683,21578.66,customs,TRK606366369
Acme Electronics Co.,2025-12-05,2025-12-10,2025-12-07,378,13532.04,delivered,TRK291965010
PaperWorld Ltd.,2026-05-15,2026-06-09,2026-06-13,1125,18795.04,in_transit,TRK681744951
Midwest Supply Hub,2026-03-30,2026-05-08,2026-05-16,3191,24650.04,in_transit,TRK668156603
Tokyo Precision Co.,2026-01-14,2026-01-18,2026-01-24,3528,9697.71,pending,TRK225129674
Acme Electronics Co.,2026-05-06,2026-05-27,2026-06-08,4445,4697.51,pending,TRK985237262
ProShield Equipment,2026-01-05,2026-02-16,2026-02-16,1047,22633.12,delivered,TRK709593646
NexGen Components,2026-02-18,2026-03-19,2026-03-26,527,18458.22,customs,TRK669999199
Iberian Woodcraft,2026-01-21,2026-02-16,2026-02-27,3569,19515.27,delivered,TRK599123000
Scandinavian Design AB,2026-04-28,2026-05-28,2026-05-25,2004,20762.98,delayed,TRK157125677
OfficeDirect Wholesale,2025-12-04,2025-12-26,2026-01-02,177,9969.23,delivered,TRK235982875
Gourmet Imports LLC,2026-01-31,2026-02-06,2026-02-14,1315,21138.97,delayed,TRK194505824
HygieneFirst GmbH,2026-02-09,2026-03-22,2026-03-27,2621,10895.5,delayed,TRK509730954
TechParts Direct,2026-02-12,2026-03-11,2026-03-22,3298,19376.59,delayed,TRK542097137
HomeStyle Furniture,2026-04-29,2026-05-19,2026-05-21,4187,7764.32,in_transit,TRK105419268
Acme Electronics Co.,2025-12-02,2025-12-12,2025-12-15,3683,6724.69,pending,TRK648230592
GreenClean Products,2026-01-24,2026-02-02,2026-01-30,3938,6158.23,delivered,TRK304523426
Euro Furniture GmbH,2026-04-22,2026-05-15,2026-05-29,1876,5735.44,pending,TRK937941295
Harvest Moon Trading,2026-04-17,2026-05-31,2026-06-01,1762,18072.82,delayed,TRK453800662
NexGen Components,2026-04-30,2026-05-24,2026-05-29,1021,11873.73,pending,TRK496294451
Quality Foods International,2026-01-12,2026-02-10,2026-02-20,693,1249.04,in_transit,TRK138375141
Global Parts Ltd.,2026-03-01,2026-04-11,2026-04-10,1054,13335.84,pending,TRK274675088
EcoClean Products,2026-03-22,2026-04-25,2026-04-29,1813,15712.3,delivered,TRK423604485
Asia Pacific Foods,2025-12-10,2026-01-18,2026-01-17,2386,1591.09,pending,TRK732263607
EcoClean Products,2025-12-08,2026-01-04,2026-01-08,756,23985.79,delayed,TRK780064237
ProShield Equipment,2025-12-07,2026-01-12,2026-01-10,204,12683.7,delayed,TRK635020014
Harvest Moon Trading,2026-03-04,2026-04-05,2026-04-12,857,23683.93,delivered,TRK217732922
Asia Pacific Foods,2026-04-02,2026-05-10,2026-05-11,1627,12381.86,customs,TRK401583525
GreenClean Products,2026-03-25,2026-04-21,2026-05-05,2668,609.9,delivered,TRK777545413
TechParts Direct,2026-05-07,2026-05-25,2026-06-07,3055,17929.76,delayed,TRK217194694
Shenzhen Digital Ltd.,2026-03-11,2026-03-25,2026-03-29,1367,23787.25,delayed,TRK447011384
Quality Foods International,2026-05-18,2026-05-25,2026-06-06,3726,6390.17,pending,TRK809856081
NexGen Components,2026-05-12,2026-05-18,2026-05-28,3010,4976.29,in_transit,TRK471514088
SparkleChem Corp.,2026-01-05,2026-02-08,2026-02-07,1556,11929.94,delivered,TRK184840684
Iberian Woodcraft,2026-05-20,2026-06-26,2026-06-27,3229,4292.7,pending,TRK602379869
SafeGuard Manufacturing,2026-02-11,2026-03-24,2026-03-21,3607,17440.64,delayed,TRK224370166
Asia Pacific Foods,2026-02-07,2026-03-21,2026-03-30,137,15345.98,delayed,TRK512555993
GreenPack Eco,2026-05-04,2026-05-12,2026-05-26,1580,13856.16,delivered,TRK193365666
EcoWrap Sustainable,2026-05-25,2026-06-27,2026-07-04,4167,10883.15,delivered,TRK487669726
Shenzhen Digital Ltd.,2026-03-30,2026-04-03,2026-04-18,4089,8180.03,delivered,TRK842029393
PackRight Solutions,2026-04-09,2026-04-19,2026-04-24,4787,21648.43,delivered,TRK638584294
Iberian Woodcraft,2025-12-29,2026-01-27,2026-02-11,823,12997.01,pending,TRK228931898
HygieneFirst GmbH,2026-01-28,2026-02-20,2026-03-01,4518,10913.02,delayed,TRK440547438
HygieneFirst GmbH,2026-03-20,2026-04-29,2026-05-08,2341,16754.09,delivered,TRK285266947
Global Parts Ltd.,2026-02-12,2026-03-23,2026-04-07,1304,8590.62,delayed,TRK667696723
Harvest Moon Trading,2026-03-29,2026-04-04,2026-04-01,1673,20034.04,delayed,TRK674131746
CircuitMaster Inc.,2025-12-11,2026-01-18,2026-01-29,3066,10261.75,delivered,TRK372687820
Gourmet Imports LLC,2026-03-16,2026-04-27,2026-04-27,371,12772.54,delayed,TRK349654742
SparkleChem Corp.,2026-01-07,2026-02-13,2026-02-17,749,22362.63,delivered,TRK573146858
ShipReady Corp.,2026-04-18,2026-05-19,2026-05-30,4195,19628.31,delayed,TRK150555077
Mediterranean Imports,2025-12-31,2026-02-12,2026-02-15,1177,23505.66,customs,TRK184822019
Shenzhen Digital Ltd.,2026-05-07,2026-06-03,2026-06-15,754,22485.37,pending,TRK585243143
HygieneFirst GmbH,2026-05-05,2026-05-15,2026-05-12,1900,7255.36,delivered,TRK157198024
Mediterranean Imports,2026-04-03,2026-05-03,2026-05-02,4130,7910.4,pending,TRK912669797
CleanPro Industries,2026-05-02,2026-06-04,2026-06-03,4162,6945.47,customs,TRK106190678
Global Parts Ltd.,2026-05-14,2026-05-18,2026-05-15,789,5846.0,in_transit,TRK994980275
WorkSafe Solutions,2025-12-17,2025-12-30,2025-12-30,2313,20648.9,customs,TRK119791622
CleanPro Industries,2026-05-27,2026-06-04,2026-06-03,2075,20899.59,customs,TRK273586414
Pacific Trading Inc.,2026-02-28,2026-04-14,2026-04-28,689,14589.51,pending,TRK924484023
Mediterranean Imports,2026-04-22,2026-05-12,2026-05-18,2096,16198.49,pending,TRK410306671
SafeGuard Manufacturing,2026-02-22,2026-03-01,2026-03-14,2591,10771.72,customs,TRK205932925
ChinaSafe Export,2025-12-04,2026-01-16,2026-01-30,1656,5317.7,pending,TRK452503704
HomeStyle Furniture,2026-02-05,2026-02-27,2026-03-11,414,23275.76,customs,TRK211956231
SparkleChem Corp.,2026-01-18,2026-02-19,2026-02-19,4991,4791.04,customs,TRK909472155
Acme Electronics Co.,2026-01-19,2026-02-05,2026-02-09,4327,22222.46,pending,TRK473171222
WrapIt International,2026-04-28,2026-06-06,2026-06-18,4430,15949.4,customs,TRK506518770
TechParts Direct,2026-05-11,2026-05-22,2026-05-31,3352,10403.44,customs,TRK723061397
Continental Supply Co.,2026-02-20,2026-03-31,2026-04-15,1342,18271.93,pending,TRK586418901
WorkSafe Solutions,2026-05-23,2026-06-27,2026-07-07,3136,9006.17,delayed,TRK678776067
ShipReady Corp.,2026-02-10,2026-03-08,2026-03-19,3673,16657.48,delayed,TRK744742429
Quality Foods International,2026-01-24,2026-02-23,2026-03-07,1802,17358.27,customs,TRK116830228
NexGen Components,2026-01-31,2026-02-23,2026-02-21,3420,13207.06,delivered,TRK804005294
ShipReady Corp.,2026-03-27,2026-04-29,2026-05-03,1884,14235.11,delayed,TRK602109780
Harvest Moon Trading,2026-03-18,2026-03-26,2026-03-28,3605,12569.2,customs,TRK534155049
Industrial Safety Corp.,2026-02-04,2026-02-10,2026-02-21,2064,16190.42,customs,TRK495224781
CleanPro Industries,2026-02-15,2026-02-18,2026-02-26,1323,2217.66,pending,TRK325604467
PaperWorld Ltd.,2026-05-12,2026-05-30,2026-06-02,74,16027.08,customs,TRK957018571
FreshSource Distributors,2025-12-06,2026-01-13,2026-01-28,1421,20013.15,customs,TRK664022937
Acme Electronics Co.,2026-04-17,2026-04-30,2026-05-15,2888,8474.98,pending,TRK527726024
HomeStyle Furniture,2026-04-04,2026-04-10,2026-04-23,4331,13529.5,pending,TRK974246255
WorkSafe Solutions,2026-05-21,2026-06-21,2026-07-06,610,20846.87,customs,TRK941493561
