Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,sales_to_availability_ratio,inventory_risk_label,delivery_delay,Price_normalized,Availability_normalized,Number of products sold_normalized,Revenue generated_normalized,Stock levels_normalized,Lead times_normalized,Order quantities_normalized,Shipping costs_normalized
skincare,SKU10,15.707795681912138,11,996,2330.965802091949,Non-binary,51,13,80,2,Carrier C,8.673211211278613,Supplier 5,Kolkata,18,830,5,96.52735278531092,Pass,1.7273139283559424,Road,Route B,806.103177702923,83.0,Normal,0,0.14371217071310177,0.10101010101010101,1.0,0.1441646048425604,0.51,0.41379310344827586,0.8315789473684211,0.8590670063565863
skincare,SKU11,90.63545998228868,95,960,6099.944115581452,Female,46,23,60,1,Carrier A,4.523943124316663,Supplier 2,Kolkata,28,362,11,27.592363086663696,Pending,0.0211698213729943,Air,Route A,126.72303340940724,10.0,Normal,0,0.9124268985042548,0.9494949494949495,0.9635627530364372,0.5722218262034315,0.46,0.7586206896551724,0.6210526315789474,0.393710942117505
haircare,SKU12,71.21338907536008,41,336,2873.7414460214413,Unknown,100,30,85,4,Carrier A,1.325274010184522,Supplier 4,Kolkata,3,563,3,32.32128621342403,Fail,2.161253747555912,Road,Route B,402.9687890737706,8.0,Normal,0,0.7131676250467602,0.40404040404040403,0.3319838056680162,0.20580970190540482,1.0,1.0,0.8842105263157894,0.03496813770991604
skincare,SKU13,16.160393317379977,5,249,4052.738416237866,Male,80,8,48,9,Carrier A,9.537283061108338,Supplier 5,Bangalore,23,173,10,97.82905011017328,Pending,1.6310742300715386,Road,Route B,547.2410051609685,41.5,Normal,1,0.14835556206122674,0.04040404040404041,0.24392712550607287,0.33971287806787864,0.8,0.2413793103448276,0.49473684210526314,0.9559759230207197
skincare,SKU14,99.1713286386242,26,562,8653.570926469802,Non-binary,54,29,78,5,Carrier B,2.039770189449332,Supplier 1,Kolkata,25,558,14,5.791436629862989,Pending,0.1006828515650937,Air,Route B,929.2352899608896,20.814814814814813,Normal,0,1.0,0.25252525252525254,0.5607287449392713,0.86224694870127,0.54,0.9655172413793104,0.8105263157894737,0.11510157882000409
skincare,SKU15,36.98924492862691,94,469,5442.086785397673,Non-binary,9,8,69,7,Carrier B,2.4220397232752044,Supplier 1,Bangalore,14,580,7,97.12128175147431,Pass,2.264405761198549,Sea,Route B,127.8618000016254,4.936842105263158,Stockout Risk,0,0.36204759618568483,0.9393939393939394,0.4665991902834008,0.49750646373969004,0.09,0.2413793103448276,0.7157894736842105,0.15797454870563193
skincare,SKU16,7.547172109791272,74,280,6453.797968176285,Female,2,5,78,1,Carrier B,4.191324585705502,Supplier 1,Bangalore,3,399,21,77.10634249785001,Pass,1.012563089258049,Air,Route A,865.5257797712403,3.7333333333333334,Stockout Risk,0,0.05998886789265827,0.7373737373737373,0.27530364372469635,0.6124103559085403,0.02,0.13793103448275862,0.8105263157894737,0.3564065185958189
cosmetics,SKU17,81.46253436923702,82,126,2629.396434845262,Female,45,17,85,9,Carrier C,3.585418958232342,Supplier 1,Chennai,7,453,16,47.679680368355335,Fail,0.1020207549181761,Air,Route C,670.9343907924103,1.5180722891566265,Normal,0,0.8183179591488602,0.8181818181818182,0.1194331983805668,0.17805850838881795,0.45,0.5517241379310345,0.8842105263157894,0.288451917400679
haircare,SKU18,36.443627770460935,23,620,9364.673505076173,Unknown,10,10,46,8,Carrier C,4.339224714110709,Supplier 2,Kolkata,18,374,17,27.10798085484392,Pending,2.231939110729264,Sea,Route A,593.4802587206518,25.833333333333332,Normal,0,0.35644987805134776,0.2222222222222222,0.6194331983805668,0.9430095768149277,0.1,0.3103448275862069,0.47368421052631576,0.37299407577761956
skincare,SKU19,51.12387008796474,100,187,2553.495584991215,Unknown,48,11,94,3,Carrier A,4.742635882841877,Supplier 4,Chennai,20,694,16,82.37332058799021,Fail,3.646450865417029,Road,Route C,477.3076310909034,1.8514851485148516,Normal,0,0.507060718284778,1.0,0.1811740890688259,0.16943815979960802,0.48,0.3448275862068966,0.9789473684210527,0.41823815975009626
skincare,SKU20,96.34107243996338,22,320,8128.027696851192,Unknown,27,12,68,6,Carrier A,8.87833465092684,Supplier 1,Chennai,29,309,6,65.68625960848863,Pass,4.231416573534539,Air,Route B,493.87121531620585,13.91304347826087,Normal,0,0.9709631997253938,0.21212121212121213,0.3157894736842105,0.8025590025620206,0.27,0.3793103448275862,0.7052631578947368,0.8820723737026556
cosmetics,SKU21,84.89386898495083,60,601,7087.052696357437,Unknown,69,25,7,6,Carrier B,6.037883769218298,Supplier 5,Chennai,19,791,4,61.73572895416093,Pending,0.0186075676310149,Air,Route C,523.360914720158,9.852459016393443,Normal,0,0.853521478165608,0.5959595959595959,0.6002024291497976,0.684331507162894,0.69,0.8275862068965517,0.06315789473684211,0.5635050950228779
haircare,SKU22,27.67978088650196,55,884,2390.8078665561734,Unknown,71,1,63,10,Carrier A,9.56764892092304,Supplier 4,Kolkata,22,780,28,50.12083961297735,Fail,2.591275473211116,Rail,Route C,205.57199582694707,15.785714285714286,Normal,1,0.26653785110228384,0.5454545454545454,0.8866396761133604,0.1509610960145506,0.71,0.0,0.6526315789473685,0.9593815687188147
cosmetics,SKU23,4.324341185864164,30,391,8858.367571011484,Unknown,84,5,29,7,Carrier A,2.924857601145554,Supplier 5,Kolkata,11,568,29,98.60995724270389,Pending,1.342291562722734,Rail,Route A,196.32944611241268,12.612903225806452,Normal,1,0.026924476795776225,0.29292929292929293,0.3876518218623482,0.8855064835977121,0.84,0.13793103448275862,0.29473684210526313,0.2143674700042211
haircare,SKU24,4.156308359311108,32,209,9049.077860939897,Male,4,26,2,8,Carrier C,9.741291689284369,Supplier 2,Bangalore,28,447,3,40.382359702924816,Pending,3.691310292628728,Air,Route A,758.7247726029383,6.333333333333333,Stockout Risk,0,0.025200556669214093,0.31313131313131315,0.2034412955465587,0.9071661775523056,0.04,0.8620689655172413,0.010526315789473684,0.9788562600558528
haircare,SKU25,39.62934398509263,73,142,2174.777054350654,Male,82,11,52,3,Carrier C,2.231073681281728,Supplier 4,Kolkata,19,934,23,78.28038311841539,Pending,3.797231217114183,Road,Route B,458.535945739209,1.9189189189189189,Normal,0,0.3891334935839643,0.7272727272727273,0.13562753036437247,0.1264256539107699,0.82,0.3448275862068966,0.5368421052631579,0.13655698689885384
haircare,SKU26,97.44694661789282,9,353,3716.493325894037,Male,59,16,48,4,Carrier B,6.507548621078551,Supplier 2,Bangalore,26,171,4,15.97222975718176,Pass,2.119319736724923,Rail,Route A,617.8669164583772,35.3,Normal,0,0.9823088325513462,0.08080808080808081,0.3491902834008097,0.30152424255526,0.59,0.5172413793103449,0.49473684210526314,0.6161797794232168
cosmetics,SKU27,92.55736081240202,42,352,2686.457223575984,Unknown,47,9,62,8,Carrier C,7.406750952998074,Supplier 5,Mumbai,25,291,4,10.528245070042162,Fail,2.864667837883373,Sea,Route B,762.4591821556837,8.186046511627907,Normal,0,0.9321444952992045,0.41414141414141414,0.3481781376518219,0.18453911948315943,0.47,0.27586206896551724,0.6421052631578947,0.7170287121425912
cosmetics,SKU28,2.397274705597141,12,394,6117.324615083992,Female,48,15,24,4,Carrier B,9.898140508069222,Supplier 1,Mumbai,13,171,7,59.42938181069157,Fail,0.815757079295672,Air,Route A,123.43702751182708,30.307692307692307,Normal,0,0.007153883402189349,0.1111111111111111,0.39068825910931176,0.5741957957262313,0.48,0.4827586206896552,0.24210526315789474,0.9964474466122537
cosmetics,SKU29,63.44755918520733,3,253,8318.903194617178,Female,45,5,67,7,Carrier B,8.100973145397031,Supplier 1,Kolkata,16,329,7,39.29287558606575,Pass,3.878098936588488,Road,Route B,764.9353759407081,63.25,Normal,1,0.6334946782677269,0.020202020202020204,0.2479757085020243,0.8242374597999277,0.45,0.13793103448275862,0.6947368421052632,0.7948883491656467
haircare,SKU30,8.022859210526393,10,327,2766.342366866089,Male,60,26,35,7,Carrier B,8.954528315318015,Supplier 4,Kolkata,27,806,30,51.63489340010933,Pending,0.9653947053523932,Road,Route C,880.080988247161,29.727272727272727,Normal,0,0.06486914387042586,0.09090909090909091,0.3228744939271255,0.1936119794522362,0.6,0.8620689655172413,0.35789473684210527,0.8906177805160754
skincare,SKU31,50.8473930517187,28,168,9655.135102719398,Male,6,17,44,4,Carrier B,2.6796609649814065,Supplier 3,Chennai,24,461,8,60.25114566159808,Pending,2.9890000066550746,Rail,Route C,609.3792066184267,5.793103448275862,Stockout Risk,0,0.50422422295768,0.2727272727272727,0.16194331983805668,0.9759984066933579,0.06,0.5517241379310345,0.45263157894736844,0.18686774253938157
skincare,SKU32,79.20993601565672,43,781,9571.55048732782,Unknown,89,13,64,4,Carrier C,6.599104901238584,Supplier 3,Kolkata,30,737,7,29.69246715374977,Pass,1.946036119386113,Road,Route A,761.1739095148776,17.75,Normal,0,0.7952075960224525,0.42424242424242425,0.7823886639676113,0.9665053835881362,0.89,0.41379310344827586,0.6631578947368421,0.6264481615327081
cosmetics,SKU33,64.7954350001556,63,616,5149.9983504080365,Non-binary,4,17,95,9,Carrier C,4.85827050343664,Supplier 5,Chennai,1,251,23,23.853427512896133,Fail,3.541046012250923,Sea,Route A,371.255295519871,9.625,Stockout Risk,0,0.6473231086593444,0.6262626262626263,0.6153846153846154,0.4643328677479556,0.04,0.5517241379310345,0.9894736842105263,0.43120701854686744
skincare,SKU34,37.46759232984246,96,602,9061.710895507724,Unknown,1,26,21,7,Carrier A,1.019487570822119,Supplier 1,Chennai,4,452,10,10.754272815029331,Pass,0.6466045593720549,Road,Route B,510.3580004335235,6.206185567010309,Stockout Risk,0,0.36695516531583816,0.9595959595959596,0.6012145748987854,0.9086009594015684,0.01,0.8620689655172413,0.21052631578947367,0.0006730353118541729
cosmetics,SKU35,84.95778681635043,11,449,6541.329344802465,Female,42,27,85,8,Carrier C,5.288189990327409,Supplier 1,Delhi,3,367,2,58.004787044743765,Pass,0.5411540980605811,Sea,Route C,553.4204712303558,37.416666666666664,Normal,0,0.8541772383420947,0.10101010101010101,0.44635627530364375,0.6223516277185669,0.42,0.896551724137931,0.8842105263157894,0.479424110372732
skincare,SKU36,9.813002578754052,34,963,7573.402457848733,Female,18,23,28,3,Carrier B,2.107951267159081,Supplier 2,Delhi,26,671,19,45.531364237162144,Fail,3.8055333792433537,Air,Route C,403.8089742481805,27.514285714285716,Normal,0,0.08323498491009307,0.3333333333333333,0.9665991902834008,0.739568101857104,0.18,0.7586206896551724,0.28421052631578947,0.12274834381894127
skincare,SKU37,23.39984475261435,5,963,2438.339930470029,Female,25,8,21,9,Carrier A,1.5326552735904306,Supplier 3,Kolkata,24,867,15,34.34327746507538,Pending,2.610288084848113,Sea,Route A,183.9329680435944,160.5,Normal,1,0.22262816873269206,0.04040404040404041,0.9665991902834008,0.15635949354092812,0.25,0.2413793103448276,0.21052631578947367,0.058226728505422494
cosmetics,SKU38,52.0759306827078,75,705,9692.318040218432,Non-binary,69,1,88,5,Carrier B,9.235931437249228,Supplier 5,Mumbai,10,841,12,5.930693645528318,Pending,0.6133268991645074,Air,Route B,339.6728699486061,9.276315789473685,Normal,1,0.5168283122403914,0.7474747474747475,0.7054655870445344,0.9802214145177609,0.69,0.0,0.9157894736842105,0.9221782019065338
skincare,SKU39,19.127477265823256,26,176,1912.4656631007608,Female,78,29,34,3,Carrier A,5.562503778830384,Supplier 2,Kolkata,30,791,6,9.005807428781642,Fail,1.451972203996816,Air,Route B,653.6729945520332,6.518518518518518,Normal,0,0.17879613632786126,0.25252525252525254,0.1700404858299595,0.0966339501835666,0.78,0.9655172413793104,0.3473684210526316,0.5101894362829511
skincare,SKU40,80.54142417094033,97,933,5724.959350456265,Female,90,20,39,8,Carrier C,7.229595139736474,Supplier 1,Kolkata,18,793,1,88.17940710421746,Pending,4.213269430586566,Road,Route A,529.8087239806919,9.520408163265307,Normal,0,0.8088678984541785,0.9696969696969697,0.9362348178137652,0.5296333782843631,0.9,0.6551724137931034,0.4,0.6971600195711132
skincare,SKU41,99.11329161531717,35,556,5521.205259010972,Female,64,19,38,8,Carrier B,5.773263743766654,Supplier 4,Chennai,18,892,7,95.3320645487725,Fail,0.0453022623982596,Sea,Route A,275.5243711313098,15.444444444444445,Normal,0,0.9994045735311536,0.3434343434343434,0.5546558704453441,0.5064922501136813,0.64,0.6206896551724138,0.3894736842105263,0.5338269611973081
skincare,SKU42,46.52916761451677,98,155,1839.609425856764,Female,22,27,57,4,Carrier C,7.526248326851508,Supplier 5,Bangalore,26,179,7,96.42282063957188,Fail,4.939255288620948,Road,Route A,635.6571205019919,1.5656565656565657,Normal,0,0.4599217143649648,0.9797979797979798,0.14878542510121456,0.08835938984400347,0.22,0.896551724137931,0.5894736842105263,0.7304307932850648
haircare,SKU43,11.74327177630924,6,598,5737.425599119023,Unknown,36,29,85,9,Carrier B,3.6940212683884543,Supplier 5,Mumbai,1,206,23,26.27736595733241,Pending,0.3723047679850977,Air,Route A,716.0441197593407,85.42857142857143,Normal,0,0.10303843634044582,0.050505050505050504,0.597165991902834,0.5310492176231767,0.36,0.9655172413793104,0.8842105263157894,0.30063207606054626
cosmetics,SKU44,51.35579091311039,34,919,7152.2860494355145,Female,13,19,72,6,Carrier C,7.577449657376693,Supplier 2,Delhi,7,834,18,22.554106620887744,Fail,2.962626320454882,Rail,Route A,610.4532696192277,26.257142857142856,Normal,0,0.5094400925203905,0.3333333333333333,0.9220647773279352,0.6917403075156882,0.13,0.6206896551724138,0.7473684210526316,0.7361732156009123
haircare,SKU45,33.78413803306551,1,24,5267.956807510521,Male,93,7,52,6,Carrier B,5.21515500871191,Supplier 2,Chennai,25,794,25,66.31254443999165,Pass,3.219604612084106,Rail,Route A,495.305697028474,12.0,Normal,0,0.3291650434227176,0.0,0.016194331983805668,0.47772985897037423,0.93,0.20689655172413793,0.5368421052631579,0.47123296174505974
haircare,SKU46,27.0822071998889,75,859,2556.767360633596,Non-binary,92,29,6,8,Carrier B,4.070955837084083,Supplier 3,Chennai,18,870,23,77.32235321105162,Pending,3.6486105925362033,Road,Route B,380.4359371119643,11.302631578947368,Normal,0,0.2604070888780888,0.7474747474747475,0.861336032388664,0.16980974781999575,0.92,0.9655172413793104,0.05263157894736842,0.3429067094868683
skincare,SKU47,95.71213588093607,93,910,7089.474249934186,Male,4,15,51,9,Carrier B,8.97875075594997,Supplier 1,Kolkata,10,964,20,19.712992911293647,Pending,0.3805735867132137,Rail,Route A,581.6023550505868,9.680851063829786,Stockout Risk,0,0.9645106724741452,0.9292929292929293,0.9129554655870445,0.6846065322251847,0.04,0.4827586206896552,0.5263157894736842,0.8933344185839245
haircare,SKU48,76.03554442689172,28,29,7397.07100458718,Non-binary,30,16,9,3,Carrier C,7.0958331565551385,Supplier 2,Mumbai,9,109,18,23.126363582464776,Fail,1.6981125407144038,Rail,Route B,768.65191395437,1.0,Normal,0,0.7626401646358618,0.2727272727272727,0.02125506072874494,0.7195414671451145,0.3,0.5172413793103449,0.08421052631578947,0.6821581086958732
cosmetics,SKU49,78.89791320564004,19,99,8001.613206519002,Unknown,97,24,9,6,Carrier C,2.5056210329009154,Supplier 5,Delhi,28,177,28,14.147815443979216,Pass,2.825813985400132,Rail,Route A,336.8901685199779,4.95,Normal,0,0.7920064215069218,0.18181818181818182,0.09210526315789473,0.7882016274405789,0.97,0.7931034482758621,0.08421052631578947,0.1673485077934014
cosmetics,SKU50,14.203484264803022,91,633,5910.885389668899,Female,31,23,82,10,Carrier A,6.247860914975991,Supplier 2,Delhi,20,306,21,45.17875792463452,Fail,4.754800804671185,Rail,Route B,496.24865029194046,6.880434782608695,Normal,0,0.12827880104498646,0.9090909090909091,0.6325910931174089,0.5507497066641639,0.31,0.7586206896551724,0.8526315789473684,0.5870548238140829
haircare,SKU51,26.70076097246173,61,154,9866.465457979695,Male,100,4,52,1,Carrier A,4.783000557947665,Supplier 5,Bangalore,18,673,28,14.19032834456998,Pending,1.7729511720835571,Road,Route A,694.9823175794459,2.4838709677419355,Normal,0,0.25649367004111373,0.6060606060606061,0.14777327935222673,1.0,1.0,0.10344827586206896,0.5368421052631579,0.4227652102919841
skincare,SKU52,98.03182965646508,1,820,9435.76260891213,Male,64,11,11,1,Carrier B,8.631052179768947,Supplier 1,Mumbai,10,727,27,9.166849148597151,Pending,2.1224716191438247,Air,Route C,602.8984988383834,410.0,Normal,0,0.9883093960279188,0.0,0.8218623481781376,0.9510834370831446,0.64,0.3448275862068966,0.10526315789473684,0.8543387119768817
skincare,SKU53,30.34147071121421,93,242,8232.334829425821,Male,96,25,54,3,Carrier B,1.0134865660958965,Supplier 1,Delhi,1,631,17,83.34405899167797,Pending,1.4103475760760271,Air,Route B,750.7378406682709,2.574468085106383,Normal,0,0.2938452573610143,0.9292929292929293,0.23684210526315788,0.8144055608662198,0.96,0.8275862068965517,0.5578947368421052,0.0
haircare,SKU54,31.146243160240854,11,622,6088.021479940859,Non-binary,33,22,61,3,Carrier B,4.305103471287636,Supplier 1,Kolkata,26,497,29,30.186023375822508,Pass,2.478771975539748,Road,Route B,814.0699965821875,51.833333333333336,Normal,0,0.3021017596804684,0.10101010101010101,0.6214574898785425,0.5708677270659162,0.33,0.7241379310344828,0.631578947368421,0.36916724971232256
haircare,SKU55,79.85505834078943,16,701,2925.6751703038126,Male,97,11,11,5,Carrier A,5.014364955030907,Supplier 2,Delhi,27,918,5,30.3235452566165,Fail,4.548919659396385,Sea,Route B,323.01292795247883,41.23529411764706,Normal,0,0.8018261799218293,0.15151515151515152,0.701417004048583,0.21170801276372633,0.97,0.3448275862068966,0.10526315789473684,0.4487135999778715
skincare,SKU56,20.986386037043378,90,93,4767.020484344137,Non-binary,25,23,83,5,Carrier C,1.7744297140717396,Supplier 1,Mumbai,24,826,28,12.836284572832753,Pass,1.173755495387454,Air,Route B,832.2108087060217,1.021978021978022,Normal,0,0.1978674708396176,0.898989898989899,0.0860323886639676,0.42083661291324725,0.25,0.7586206896551724,0.8631578947368421,0.08534264381818008
haircare,SKU57,49.26320535073416,65,227,1605.8669003924058,Unknown,5,18,51,1,Carrier B,9.16055853538187,Supplier 2,Delhi,21,588,25,67.77962298707814,Pending,2.511174830212707,Rail,Route A,482.1912386025281,3.4393939393939394,Stockout Risk,0,0.4879713685720095,0.6464646464646465,0.2216599190283401,0.061812361009679975,0.05,0.5862068965517241,0.5263157894736842,0.9137248467055317
skincare,SKU58,59.84156137728931,81,896,2021.149810337108,Non-binary,10,5,44,7,Carrier A,4.93843856471209,Supplier 3,Delhi,18,396,7,65.04741509469146,Fail,1.7303747198591968,Road,Route B,110.36433523136472,10.926829268292684,Normal,1,0.5964992153874664,0.8080808080808081,0.8987854251012146,0.10897762271292463,0.1,0.13793103448275862,0.45263157894736844,0.440198168959647
cosmetics,SKU59,63.828398347710966,30,484,1061.618523013288,Non-binary,100,16,26,7,Carrier B,7.293722596867728,Supplier 1,Kolkata,11,176,4,1.900762243519458,Fail,0.4471940154638232,Air,Route A,312.5742736100933,15.612903225806452,Normal,0,0.6374018689678476,0.29292929292929293,0.4817813765182186,0.0,1.0,0.5172413793103449,0.2631578947368421,0.7043521557346049
skincare,SKU60,17.028027920188702,16,380,8864.084349586436,Female,41,27,72,8,Carrier C,4.3813681581023145,Supplier 4,Mumbai,29,929,24,87.21305781513568,Fail,2.853090616649054,Rail,Route A,430.1690969751365,22.352941176470587,Normal,0,0.15725699391217182,0.15151515151515152,0.3765182186234818,0.886155759913039,0.41,0.896551724137931,0.7473684210526316,0.37772062195838785
haircare,SKU61,52.02874990329492,23,117,6885.589350896253,Unknown,32,23,36,7,Carrier C,9.030340422521949,Supplier 4,Kolkata,14,480,12,78.7023939688789,Fail,4.367470538205053,Air,Route A,164.36652824341942,4.875,Normal,0,0.5163442645880058,0.2222222222222222,0.11032388663967611,0.661450547738021,0.32,0.7586206896551724,0.3684210526315789,0.8991203942519659
cosmetics,SKU62,72.79635395558736,89,270,3899.746833729224,Unknown,86,2,40,7,Carrier C,7.291701388776776,Supplier 2,Mumbai,13,751,14,21.048642725168644,Pass,1.8740014040443749,Sea,Route C,320.8465157591116,3.0,Normal,1,0.7294079339949834,0.8888888888888888,0.2651821862348178,0.3223370413680865,0.86,0.034482758620689655,0.4105263157894737,0.7041254696245486
skincare,SKU63,13.017376785287857,55,246,4256.949140850225,Non-binary,54,19,10,4,Carrier A,2.45793352798733,Supplier 3,Bangalore,18,736,10,20.075003975630484,Pending,3.6328432903821337,Sea,Route A,687.2861778664173,4.392857142857143,Normal,0,0.11611002070517319,0.5454545454545454,0.2408906882591093,0.3629058678064491,0.54,0.6206896551724138,0.09473684210526316,0.16200017427171362
skincare,SKU64,89.63409560813533,11,134,8458.730878367178,Female,73,27,75,6,Carrier C,4.585353468194652,Supplier 1,Delhi,17,328,6,8.693042425877287,Fail,0.1594863147175146,Air,Route C,771.2250846811575,11.166666666666666,Normal,0,0.9021534761377019,0.10101010101010101,0.12753036437246965,0.8401182223824897,0.73,0.896551724137931,0.7789473684210526,0.40059834378249454
skincare,SKU65,33.69771720664313,72,457,8354.579686481995,Male,57,24,54,8,Carrier C,6.580541347884595,Supplier 5,Kolkata,16,358,21,1.5972227430506774,Fail,4.911095954842331,Rail,Route C,555.8591036717435,6.260273972602739,Normal,0,0.32827841546388453,0.7171717171717171,0.45445344129554655,0.828289374856297,0.57,0.7931034482758621,0.5578947368421052,0.6243661890146515
skincare,SKU66,26.03486977396209,52,704,8367.721618020154,Female,13,17,19,8,Carrier A,2.2161427287713638,Supplier 5,Kolkata,24,867,28,42.08443673830996,Fail,3.4480632883402618,Road,Route A,393.8433485784279,13.283018867924529,Normal,0,0.24966200944989198,0.5151515151515151,0.7044534412955465,0.8297819540726339,0.13,0.5517241379310345,0.18947368421052632,0.13488242426516991
skincare,SKU67,87.75543235400107,16,513,9473.798032508335,Unknown,12,9,71,9,Carrier C,9.147811544710631,Supplier 1,Mumbai,10,198,11,7.057876146978231,Pass,0.1319554443118148,Sea,Route C,169.2718013847869,30.176470588235293,Normal,0,0.8828794719965399,0.15151515151515152,0.5111336032388664,0.9554032650003292,0.12,0.27586206896551724,0.7368421052631579,0.9122952236285606
haircare,SKU68,37.93181238279032,29,163,3550.218432780992,Non-binary,0,8,58,8,Carrier B,1.1942518648849991,Supplier 2,Bangalore,2,375,18,97.1135815634622,Fail,1.98346787217418,Rail,Route A,299.7063031181032,5.433333333333334,Stockout Risk,0,0.37171779598061405,0.2828282828282828,0.15688259109311742,0.28263976968013005,0.0,0.2413793103448276,0.6,0.02027350998597208
skincare,SKU69,54.86552851706979,62,511,1752.3810874841247,Non-binary,95,1,27,3,Carrier B,9.705286790120349,Supplier 4,Kolkata,9,862,7,77.62776581274817,Pending,1.3623879886491086,Air,Route A,207.6632062085756,8.11111111111111,Normal,1,0.5454479810891586,0.6161616161616161,0.5091093117408907,0.07845253524256435,0.95,0.0,0.2736842105263158,0.9748181748280166
haircare,SKU70,47.914541824058766,90,32,7014.887987203389,Female,10,12,22,4,Carrier B,6.315717754600723,Supplier 1,Bangalore,22,775,16,11.440781823761265,Pass,1.8305755986122316,Road,Route C,183.272898748711,0.3516483516483517,Normal,0,0.4741348567112638,0.898989898989899,0.024291497975708502,0.6761354863022175,0.1,0.3793103448275862,0.22105263157894736,0.5946652242889745
